Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_ED_Value,MD_Value
AU01_r,mean,ND_vs_CD_ED_vs_MD,1.3051,0.30549634220999194,기각하지 못함 (차이 없음),0.1751,0.1674,0.4927
AU02_r,mean,ND_vs_CD_ED_vs_MD,0.9996,0.39905351387523735,기각하지 못함 (차이 없음),0.0698,0.0871,0.2122
AU04_r,mean,ND_vs_CD_ED_vs_MD,1.1401,0.3481653667532168,기각하지 못함 (차이 없음),0.4439,0.4061,1.0323
AU05_r,mean,ND_vs_CD_ED_vs_MD,1.8869,0.18771246973913788,기각하지 못함 (차이 없음),0.0433,0.0701,0.056
AU06_r,mean,ND_vs_CD_ED_vs_MD,2.8964,0.08778921683097424,기각하지 못함 (차이 없음),0.7888,0.5287,0.9899
AU07_r,mean,ND_vs_CD_ED_vs_MD,1.7497,0.20914400469172822,기각하지 못함 (차이 없음),0.5061,0.4367,1.1477
AU09_r,mean,ND_vs_CD_ED_vs_MD,3.1477,0.08247776308820327,기각하지 못함 (차이 없음),0.0532,0.1049,0.0949
AU10_r,mean,ND_vs_CD_ED_vs_MD,1.2457,0.3135683761186552,기각하지 못함 (차이 없음),0.8688,0.5924,0.8259
AU12_r,mean,ND_vs_CD_ED_vs_MD,0.586,0.5671284986114433,기각하지 못함 (차이 없음),0.1926,0.1689,0.2766
AU14_r,mean,ND_vs_CD_ED_vs_MD,0.9166,0.4208917354586772,기각하지 못함 (차이 없음),0.6593,0.6426,1.0501
AU15_r,mean,ND_vs_CD_ED_vs_MD,1.5782,0.233450779544364,기각하지 못함 (차이 없음),0.1252,0.1706,0.0983
AU17_r,mean,ND_vs_CD_ED_vs_MD,1.4487,0.26162824008357577,기각하지 못함 (차이 없음),0.2821,0.3281,0.3762
AU20_r,mean,ND_vs_CD_ED_vs_MD,0.7024,0.5122639460952493,기각하지 못함 (차이 없음),0.0924,0.0809,0.118
AU23_r,mean,ND_vs_CD_ED_vs_MD,3.4234,0.06618559386740636,기각하지 못함 (차이 없음),0.1003,0.1633,0.1514
AU25_r,mean,ND_vs_CD_ED_vs_MD,7.1081,0.00957325003825188,기각 (차이 있음),0.2512,0.5775,0.7903
AU26_r,mean,ND_vs_CD_ED_vs_MD,3.3071,0.06998548570147589,기각하지 못함 (차이 없음),0.2863,0.4402,0.5243
AU45_r,mean,ND_vs_CD_ED_vs_MD,4.1666,0.0450918060288501,기각 (차이 있음),0.1537,0.3372,0.3703
pose_Tx,mean,ND_vs_CD_ED_vs_MD,0.5191,0.6046352375471681,기각하지 못함 (차이 없음),-199966.4112,-40.9008,-43.4347
pose_Ty,mean,ND_vs_CD_ED_vs_MD,1.0266,0.37897132272113004,기각하지 못함 (차이 없음),-149914.5382,17.5682,25.9957
pose_Tz,mean,ND_vs_CD_ED_vs_MD,1.5336,0.2390072625604314,기각하지 못함 (차이 없음),312653.7505,276.4463,267.8475
pose_Rx,mean,ND_vs_CD_ED_vs_MD,5.6399,0.016304591199923685,기각 (차이 있음),-0.0572,0.097,0.0134
pose_Ry,mean,ND_vs_CD_ED_vs_MD,2.3024,0.1332967509879746,기각하지 못함 (차이 없음),-0.0338,0.0135,-0.0609
pose_Rz,mean,ND_vs_CD_ED_vs_MD,0.7834,0.4741607015846512,기각하지 못함 (차이 없음),0.0094,0.025,0.0272
Speed,mean,ND_vs_CD_ED_vs_MD,0.6054,0.5608018020630278,기각하지 못함 (차이 없음),69.1953,69.4459,72.7655
Acceleration,mean,ND_vs_CD_ED_vs_MD,1.0618,0.3736483916232462,기각하지 못함 (차이 없음),5.8284,5.4643,5.9484
Brake,mean,ND_vs_CD_ED_vs_MD,0.4891,0.6224826025256767,기각하지 못함 (차이 없음),19.0568,12.8823,16.3581
Steering,mean,ND_vs_CD_ED_vs_MD,0.8234,0.4550211327948261,기각하지 못함 (차이 없음),0.0002,0.0012,0.0002
LaneOffset,mean,ND_vs_CD_ED_vs_MD,2.3156,0.13266468304390167,기각하지 못함 (차이 없음),-0.0568,0.0027,-0.0866
gaze_0_x,mean,ND_vs_CD_ED_vs_MD,0.5396,0.5920307854336896,기각하지 못함 (차이 없음),0.1597,0.1595,0.1907
gaze_0_y,mean,ND_vs_CD_ED_vs_MD,3.8496,0.046772885126319365,기각 (차이 있음),0.1365,0.2541,0.1615
gaze_0_z,mean,ND_vs_CD_ED_vs_MD,0.0775,0.9258207238917311,기각하지 못함 (차이 없음),-0.9276,-0.9398,-0.938
gaze_1_x,mean,ND_vs_CD_ED_vs_MD,3.9384,0.04041383520190988,기각 (차이 있음),-0.0226,-0.074,0.0053
gaze_1_y,mean,ND_vs_CD_ED_vs_MD,5.0271,0.02272056634289613,기각 (차이 있음),0.1391,0.2778,0.1594
gaze_1_z,mean,ND_vs_CD_ED_vs_MD,0.1399,0.8706314704500921,기각하지 못함 (차이 없음),-0.9419,-0.9438,-0.9566
gaze_angle_x,mean,ND_vs_CD_ED_vs_MD,1.5531,0.24038129450076212,기각하지 못함 (차이 없음),0.0707,0.0457,0.1008
gaze_angle_y,mean,ND_vs_CD_ED_vs_MD,4.5451,0.030342469653838897,기각 (차이 있음),0.1411,0.2754,0.168
gaze_vel,mean,ND_vs_CD_ED_vs_MD,1.9992,0.16667004976819666,기각하지 못함 (차이 없음),20.4877,25.9547,25.2422
gaze_amp,mean,ND_vs_CD_ED_vs_MD,1.7232,0.20808839361775033,기각하지 못함 (차이 없음),0.764,0.9506,0.9422
gaze_acc,mean,ND_vs_CD_ED_vs_MD,2.9597,0.08897083883834796,기각하지 못함 (차이 없음),0.0426,0.2832,0.4545
