Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_ED_Value,MD_Value
AU01_r,std,ND_vs_CD_ED_vs_MD,2.639,0.11337890756052052,기각하지 못함 (차이 없음),0.264,0.4269,0.625
AU02_r,std,ND_vs_CD_ED_vs_MD,1.6754,0.22656076931186467,기각하지 못함 (차이 없음),0.1937,0.3281,0.3404
AU04_r,std,ND_vs_CD_ED_vs_MD,0.4222,0.6619602790451368,기각하지 못함 (차이 없음),0.2236,0.2218,0.2975
AU05_r,std,ND_vs_CD_ED_vs_MD,1.4341,0.26882463834055076,기각하지 못함 (차이 없음),0.1271,0.1392,0.1705
AU06_r,std,ND_vs_CD_ED_vs_MD,2.7517,0.09183963238258996,기각하지 못함 (차이 없음),0.2642,0.3206,0.3505
AU07_r,std,ND_vs_CD_ED_vs_MD,2.6881,0.09425637568191288,기각하지 못함 (차이 없음),0.3716,0.2866,0.477
AU09_r,std,ND_vs_CD_ED_vs_MD,1.8795,0.18361832213888102,기각하지 못함 (차이 없음),0.1427,0.1824,0.2574
AU10_r,std,ND_vs_CD_ED_vs_MD,6.7555,0.006403993262003604,기각 (차이 있음),0.2511,0.3729,0.4045
AU12_r,std,ND_vs_CD_ED_vs_MD,9.6743,0.0012885940519269592,기각 (차이 있음),0.1765,0.2436,0.3826
AU14_r,std,ND_vs_CD_ED_vs_MD,1.504,0.24876445590999235,기각하지 못함 (차이 없음),0.3156,0.3729,0.4173
AU15_r,std,ND_vs_CD_ED_vs_MD,1.6668,0.21471658841429156,기각하지 못함 (차이 없음),0.2019,0.1703,0.2426
AU17_r,std,ND_vs_CD_ED_vs_MD,0.7226,0.49846845806360646,기각하지 못함 (차이 없음),0.2821,0.3048,0.3307
AU20_r,std,ND_vs_CD_ED_vs_MD,3.4485,0.05284239158530701,기각하지 못함 (차이 없음),0.1773,0.1395,0.2202
AU23_r,std,ND_vs_CD_ED_vs_MD,2.97,0.08165720013960596,기각하지 못함 (차이 없음),0.2079,0.2116,0.3746
AU25_r,std,ND_vs_CD_ED_vs_MD,7.2577,0.007236933318729396,기각 (차이 있음),0.3006,0.5505,0.5877
AU26_r,std,ND_vs_CD_ED_vs_MD,5.2466,0.015329915624610217,기각 (차이 있음),0.3338,0.4191,0.5196
AU45_r,std,ND_vs_CD_ED_vs_MD,2.5274,0.11190831733587246,기각하지 못함 (차이 없음),0.2985,0.3998,0.3993
pose_Tx,std,ND_vs_CD_ED_vs_MD,0.6943,0.5110364325052011,기각하지 못함 (차이 없음),31626.6045,5.4499,6.4204
pose_Ty,std,ND_vs_CD_ED_vs_MD,0.5183,0.6036352353922456,기각하지 못함 (차이 없음),23722.0486,5.6183,5.1933
pose_Tz,std,ND_vs_CD_ED_vs_MD,2.2348,0.13329769454387724,기각하지 못함 (차이 없음),49416.8789,3.7805,5.337
pose_Rx,std,ND_vs_CD_ED_vs_MD,0.8259,0.45256658054483156,기각하지 못함 (차이 없음),0.0676,0.0523,0.0606
pose_Ry,std,ND_vs_CD_ED_vs_MD,0.8242,0.4547117611875195,기각하지 못함 (차이 없음),0.0334,0.0301,0.0443
pose_Rz,std,ND_vs_CD_ED_vs_MD,0.3586,0.7037899083121527,기각하지 못함 (차이 없음),0.0333,0.0358,0.0412
Speed,std,ND_vs_CD_ED_vs_MD,13.5102,0.00042954092086186664,기각 (차이 있음),12.8024,5.0574,7.4182
Acceleration,std,ND_vs_CD_ED_vs_MD,0.0429,0.9581179956458636,기각하지 못함 (차이 없음),3.867,3.7307,3.9869
Brake,std,ND_vs_CD_ED_vs_MD,2.3476,0.1277966732772015,기각하지 못함 (차이 없음),50.2728,28.1557,41.3847
Steering,std,ND_vs_CD_ED_vs_MD,1.4975,0.26121998907852895,기각하지 못함 (차이 없음),0.0264,0.0432,0.0421
LaneOffset,std,ND_vs_CD_ED_vs_MD,12.3742,0.0005177723841061176,기각 (차이 있음),0.2616,0.1557,0.1857
gaze_0_x,std,ND_vs_CD_ED_vs_MD,0.7306,0.49479276099219566,기각하지 못함 (차이 없음),0.0404,0.0408,0.0472
gaze_0_y,std,ND_vs_CD_ED_vs_MD,0.3811,0.6880624175452718,기각하지 못함 (차이 없음),0.0597,0.0594,0.0665
gaze_0_z,std,ND_vs_CD_ED_vs_MD,1.4761,0.25397354242654896,기각하지 못함 (차이 없음),0.0605,0.0365,0.0382
gaze_1_x,std,ND_vs_CD_ED_vs_MD,1.1079,0.35309843903150834,기각하지 못함 (차이 없음),0.0387,0.0475,0.0455
gaze_1_y,std,ND_vs_CD_ED_vs_MD,1.0426,0.3724444638284645,기각하지 못함 (차이 없음),0.0577,0.0596,0.069
gaze_1_z,std,ND_vs_CD_ED_vs_MD,1.2183,0.3181372455676376,기각하지 못함 (차이 없음),0.059,0.037,0.0381
gaze_angle_x,std,ND_vs_CD_ED_vs_MD,0.3938,0.6801873565587777,기각하지 못함 (차이 없음),0.0321,0.0361,0.0364
gaze_angle_y,std,ND_vs_CD_ED_vs_MD,0.422,0.6616772527599988,기각하지 못함 (차이 없음),0.0581,0.0601,0.0657
gaze_vel,std,ND_vs_CD_ED_vs_MD,4.7691,0.023419536349416747,기각 (차이 있음),27.3511,41.5823,38.9365
gaze_amp,std,ND_vs_CD_ED_vs_MD,4.4143,0.02906844517088154,기각 (차이 있음),1.0241,1.5082,1.4551
gaze_acc,std,ND_vs_CD_ED_vs_MD,6.5983,0.00826056645283812,기각 (차이 있음),819.0173,1312.4891,1180.6026
