A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature,Metric
CD_ED,MD,0.2498227640581777,0.18523404075149255,0.06458872330668514,0.056254817838510454,1.148145630692444,14.539990741028314,0.5011551583664777,0.4926982784777506,AU09_r,std
CD_ED,ND,0.2498227640581777,0.12051789086573962,0.12930487319243805,0.04995154705270197,2.5886059756270097,9.716985372772784,0.06531265108066675,1.2345083570817816,AU09_r,std
MD,ND,0.18523404075149255,0.12051789086573962,0.06471614988575293,0.029317279051706557,2.2074405258282592,14.970454570333077,0.10233345348478862,0.8586590650547536,AU09_r,std
CD_ED,MD,0.30667792928133614,0.2994703101784237,0.007207619102912455,0.06247993651606787,0.11535893768168094,20.40567980657122,0.9926927804391268,0.04413434745351171,AU12_r,std
CD_ED,ND,0.30667792928133614,0.15669988515356398,0.14997804412777216,0.054381522027681026,2.7578861079215664,22.623802973200362,0.029277382181278733,1.0257186854358065,AU12_r,std
MD,ND,0.2994703101784237,0.15669988515356398,0.1427704250248597,0.06460968579126967,2.2097371822252607,23.793323313570625,0.08999927563001997,0.8225309285968091,AU12_r,std
CD_ED,MD,0.5355253260070137,0.6187001422793443,-0.08317481627233059,0.10860972381208607,-0.7658137167924085,20.998809664016676,0.7275665874852482,-0.2996011353769174,AU25_r,std
CD_ED,ND,0.5355253260070137,0.31067588889967784,0.2248494371073359,0.0756956972922743,2.9704388115899505,11.252295189389535,0.030898898077765358,1.356061937252797,AU25_r,std
MD,ND,0.6187001422793443,0.31067588889967784,0.3080242533796665,0.0855984229593097,3.5984804711424387,14.257420689109336,0.007475296876641169,1.4055081587122502,AU25_r,std
CD_ED,MD,0.454660354207305,0.4108963095954858,0.04376404461181921,0.08596249311927914,0.5091062744200945,19.05867875930038,0.8678346917647418,0.20763433245372315,AU45_r,std
CD_ED,ND,0.454660354207305,0.2646704251664388,0.1899899290408662,0.06835510908667518,2.7794546973797742,10.419279546633085,0.04553165895183797,1.2975628666714016,AU45_r,std
MD,ND,0.4108963095954858,0.2646704251664388,0.146225884429047,0.05825671656195275,2.5100261919764044,14.650865502555472,0.05958630877357041,0.9781330095332579,AU45_r,std
CD_ED,MD,0.07452903477004821,0.04575258428066003,0.028776450489388185,0.010571710882905296,2.7220239758845826,14.285816638728091,0.040631968016703546,1.1715262993937716,pose_Rx,std
CD_ED,ND,0.07452903477004821,0.06754062211327011,0.0069884126567781035,0.017230492316006908,0.405584038378634,22.03267316014359,0.9136682880148036,0.14206161579858478,pose_Rx,std
MD,ND,0.04575258428066003,0.06754062211327011,-0.02178803783261008,0.01539554852754293,-1.415216729279302,17.347695859158293,0.35508720907356073,-0.4904142122909743,pose_Rx,std
CD_ED,MD,4.160800461909193,4.119401485232752,0.0413989766764411,1.101996758912823,0.03756723995929293,20.864493427044984,0.9992222450646298,0.014836559733153242,Speed,std
CD_ED,ND,4.160800461909193,12.139116613902662,-7.978316151993469,1.2238807849207116,-6.518867074549536,22.98721366709897,3.46970102216293e-06,-2.357728388873069,Speed,std
MD,ND,4.119401485232752,12.139116613902662,-8.01971512866991,1.2547932474779282,-6.391264174228812,25.724792645350515,2.780682888059438e-06,-2.308434457638078,Speed,std
CD_ED,MD,0.17494981826112607,0.15469506974852207,0.020254748512604004,0.026882393464371268,0.7534577804408953,20.609265238415517,0.7349560308109199,0.28943150412472474,LaneOffset,std
CD_ED,ND,0.17494981826112607,0.2700913672728536,-0.09514154901172753,0.019883923446752334,-4.784847883090554,17.686656625381517,0.00043417030684611557,-1.9392363788450189,LaneOffset,std
MD,ND,0.15469506974852207,0.2700913672728536,-0.11539629752433153,0.024435477680323076,-4.722489939996369,18.664291303334576,0.00043493633278945953,-1.8026331273176368,LaneOffset,std
