Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_ED_Value,MD_Value
AU01_r,var,ND_vs_CD_ED_vs_MD,1.1968,0.3300020923810033,기각하지 못함 (차이 없음),0.1132,0.6094,0.1776
AU02_r,var,ND_vs_CD_ED_vs_MD,2.25,0.14319541396248303,기각하지 못함 (차이 없음),0.045,0.3086,0.1214
AU04_r,var,ND_vs_CD_ED_vs_MD,1.1487,0.33812294024773376,기각하지 못함 (차이 없음),0.101,0.148,0.0611
AU05_r,var,ND_vs_CD_ED_vs_MD,0.7002,0.510253727373777,기각하지 못함 (차이 없음),0.0239,0.0234,0.0439
AU06_r,var,ND_vs_CD_ED_vs_MD,3.2289,0.0620012192467781,기각하지 못함 (차이 없음),0.0644,0.1489,0.1065
AU07_r,var,ND_vs_CD_ED_vs_MD,0.8527,0.44111471138260827,기각하지 못함 (차이 없음),0.1381,0.2131,0.1449
AU09_r,var,ND_vs_CD_ED_vs_MD,1.3816,0.2766510827205758,기각하지 못함 (차이 없음),0.026,0.079,0.0452
AU10_r,var,ND_vs_CD_ED_vs_MD,1.592,0.22611019503004223,기각하지 못함 (차이 없음),0.0899,0.1707,0.1443
AU12_r,var,ND_vs_CD_ED_vs_MD,3.9303,0.034782904752372105,기각 (차이 있음),0.0362,0.1211,0.0962
AU14_r,var,ND_vs_CD_ED_vs_MD,0.4173,0.6642297005724788,기각하지 못함 (차이 없음),0.1151,0.1622,0.1262
AU15_r,var,ND_vs_CD_ED_vs_MD,2.4836,0.10790816758526428,기각하지 못함 (차이 없음),0.0501,0.0302,0.0661
AU17_r,var,ND_vs_CD_ED_vs_MD,1.8132,0.18756349171772904,기각하지 못함 (차이 없음),0.0648,0.1135,0.0997
AU20_r,var,ND_vs_CD_ED_vs_MD,0.4174,0.6637832382482265,기각하지 못함 (차이 없음),0.0381,0.0357,0.0283
AU23_r,var,ND_vs_CD_ED_vs_MD,1.556,0.23834309427645414,기각하지 못함 (차이 없음),0.0564,0.1544,0.0547
AU25_r,var,ND_vs_CD_ED_vs_MD,3.1252,0.06526905730874051,기각하지 못함 (차이 없음),0.131,0.2485,0.4585
AU26_r,var,ND_vs_CD_ED_vs_MD,1.9111,0.17421565302115163,기각하지 못함 (차이 없음),0.1306,0.2453,0.1773
AU45_r,var,ND_vs_CD_ED_vs_MD,4.4052,0.03202874601518714,기각 (차이 있음),0.0821,0.2833,0.1384
pose_Tx,var,ND_vs_CD_ED_vs_MD,0.8095,0.45799307112306686,기각하지 못함 (차이 없음),14865729423.5169,51.3737,37.4423
pose_Ty,var,ND_vs_CD_ED_vs_MD,0.5602,0.5794435715773345,기각하지 못함 (차이 없음),8362019356.7602,41.7225,33.5002
pose_Tz,var,ND_vs_CD_ED_vs_MD,1.0844,0.3583997965956158,기각하지 못함 (차이 없음),36292739682.9503,30.3616,20.097
pose_Rx,var,ND_vs_CD_ED_vs_MD,0.1597,0.8534090301121678,기각하지 못함 (차이 없음),0.0046,0.0041,0.0037
pose_Ry,var,ND_vs_CD_ED_vs_MD,0.171,0.8440954112447763,기각하지 못함 (차이 없음),0.0018,0.0022,0.0016
pose_Rz,var,ND_vs_CD_ED_vs_MD,1.0684,0.3644036065306814,기각하지 못함 (차이 없음),0.001,0.0021,0.0015
Speed,var,ND_vs_CD_ED_vs_MD,8.3475,0.0025760295510819527,기각 (차이 있음),150.6636,42.5771,84.745
Acceleration,var,ND_vs_CD_ED_vs_MD,2.3709,0.1201329106711863,기각하지 못함 (차이 없음),18.849,22.442,11.0994
Brake,var,ND_vs_CD_ED_vs_MD,0.7859,0.4701936989598539,기각하지 못함 (차이 없음),2596.0796,2428.2278,1402.975
Steering,var,ND_vs_CD_ED_vs_MD,3.58,0.056597974862521654,기각하지 못함 (차이 없음),0.0006,0.0027,0.0045
LaneOffset,var,ND_vs_CD_ED_vs_MD,3.8847,0.03814821385592786,기각 (차이 있음),0.0676,0.0427,0.0409
gaze_0_x,var,ND_vs_CD_ED_vs_MD,0.1874,0.8304342965604657,기각하지 못함 (차이 없음),0.0019,0.0022,0.0022
gaze_0_y,var,ND_vs_CD_ED_vs_MD,1.6888,0.20842980237115746,기각하지 못함 (차이 없음),0.0039,0.0058,0.0037
gaze_0_z,var,ND_vs_CD_ED_vs_MD,2.2877,0.1316626804631657,기각하지 못함 (차이 없음),0.0084,0.0038,0.0014
gaze_1_x,var,ND_vs_CD_ED_vs_MD,1.3688,0.2780287725643385,기각하지 못함 (차이 없음),0.0024,0.0019,0.0032
gaze_1_y,var,ND_vs_CD_ED_vs_MD,0.7562,0.48113673726067674,기각하지 못함 (차이 없음),0.0039,0.005,0.0043
gaze_1_z,var,ND_vs_CD_ED_vs_MD,2.0541,0.1579672380807725,기각하지 못함 (차이 없음),0.0084,0.0038,0.0016
gaze_angle_x,var,ND_vs_CD_ED_vs_MD,0.9141,0.41674673837858084,기각하지 못함 (차이 없음),0.0016,0.0013,0.002
gaze_angle_y,var,ND_vs_CD_ED_vs_MD,1.3827,0.27174688501084376,기각하지 못함 (차이 없음),0.0037,0.0053,0.0038
gaze_vel,var,ND_vs_CD_ED_vs_MD,3.5118,0.04971406675693843,기각 (차이 있음),878.3973,1538.0372,1811.8251
gaze_amp,var,ND_vs_CD_ED_vs_MD,3.3402,0.05587149486961438,기각하지 못함 (차이 없음),1.2245,2.0964,2.4518
gaze_acc,var,ND_vs_CD_ED_vs_MD,4.9326,0.020499390603192558,기각 (차이 있음),753974.9823,1510809.336,1670879.694
