Feature,Total_Iterations,Significant_Count_P<0.05,Mean_P_value
AU25_r,10.0,10.0,0.01174
AU26_r,10.0,4.0,0.07531
AU04_r,10.0,3.0,0.219891
gaze_vel,10.0,2.0,0.258302
pose_Rx,10.0,2.0,0.404093
gaze_0_y,10.0,2.0,0.428423
gaze_amp,10.0,2.0,0.295643
Speed,10.0,2.0,0.333902
gaze_angle_y,10.0,2.0,0.417134
gaze_1_z,10.0,2.0,0.423695
gaze_1_y,10.0,2.0,0.413187
AU07_r,10.0,2.0,0.408726
AU17_r,10.0,1.0,0.395833
AU20_r,10.0,1.0,0.545117
AU12_r,10.0,1.0,0.503002
AU10_r,10.0,1.0,0.422433
AU45_r,10.0,1.0,0.087469
pose_Rz,10.0,1.0,0.513121
Brake,10.0,1.0,0.384462
gaze_0_x,10.0,1.0,0.542812
pose_Ty,10.0,1.0,0.450959
gaze_0_z,10.0,1.0,0.421906
gaze_acc,10.0,1.0,0.24453
LaneOffset,10.0,1.0,0.292819
pose_Ry,10.0,0.0,0.638102
gaze_angle_x,10.0,0.0,0.590344
pose_Tx,10.0,0.0,0.453825
AU01_r,10.0,0.0,0.264365
gaze_1_x,10.0,0.0,0.59931
Steering,10.0,0.0,0.452704
AU02_r,10.0,0.0,0.464591
Acceleration,10.0,0.0,0.468042
AU23_r,10.0,0.0,0.332566
AU15_r,10.0,0.0,0.54619
AU14_r,10.0,0.0,0.489555
AU09_r,10.0,0.0,0.265007
AU06_r,10.0,0.0,0.482915
AU05_r,10.0,0.0,0.456538
pose_Tz,10.0,0.0,0.474251
