A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature,Metric
CD,ED,0.5885072487956722,1.2972417877472964,-0.7087345389516242,0.3389899426142369,-2.0907243839919714,13.902302789266944,0.2038933060556678,-0.9883424360689317,AU07_r,mean
CD,MD,0.5885072487956722,0.29383147191900727,0.2946757768766649,0.26819871679296076,1.098721800015708,11.29996631187692,0.6973668978369816,0.5158291752568972,AU07_r,mean
CD,ND,0.5885072487956722,0.40599209145085635,0.18251515734481583,0.2578532243800586,0.7078257709734921,10.651340544546274,0.891856473622453,0.33995399277645794,AU07_r,mean
ED,MD,1.2972417877472964,0.29383147191900727,1.003410315828289,0.2855937124007022,3.513418791308873,10.79940775324209,0.022036388618447145,1.642528249816616,AU07_r,mean
ED,ND,1.2972417877472964,0.40599209145085635,0.89124969629644,0.27590125443103203,3.23032129061678,10.10939362007776,0.03766969473178816,1.5681398395383963,AU07_r,mean
MD,ND,0.29383147191900727,0.40599209145085635,-0.11216061953184908,0.18203810780274607,-0.6161381311070578,13.524633793197777,0.925172460269133,-0.2797130021858874,AU07_r,mean
CD,ED,0.5949415023187578,1.287023838091282,-0.6920823357725242,0.20724778585863973,-3.3393955593068774,13.03184595571716,0.02403786524174334,-1.5786233553087057,AU10_r,mean
CD,MD,0.5949415023187578,0.855515787306134,-0.2605742849873762,0.2937277977772012,-0.8871284466750654,8.586827675467282,0.8116974042571171,-0.4511057812062125,AU10_r,mean
CD,ND,0.5949415023187578,0.5632206087747943,0.03172089354396346,0.19536450243652406,0.16236774413135724,16.999577308181752,0.9984143618364136,0.06820901854247033,AU10_r,mean
ED,MD,1.287023838091282,0.855515787306134,0.431508050785148,0.31302254234499416,1.3785206891252144,10.227741786075649,0.5382784072982982,0.6904411262506782,AU10_r,mean
ED,ND,1.287023838091282,0.5632206087747943,0.7238032293164877,0.22332572991339328,3.241020323082261,15.79065539463927,0.0240526793705933,1.4234968668692667,AU10_r,mean
MD,ND,0.855515787306134,0.5632206087747943,0.2922951785313397,0.3052847131532886,0.9574510807050248,9.838938201842062,0.7756688405365685,0.4770867626006996,AU10_r,mean
CD,ED,0.8202473049196184,0.7597257290797157,0.0605215758399027,0.20690473768593762,0.2925093766183783,12.381334588703337,0.9908480532896928,0.13827715985596065,AU25_r,mean
CD,MD,0.8202473049196184,0.4518836771498135,0.3683636277698049,0.19143913983938762,1.9241813773236354,10.27440892323885,0.276660229088574,0.8957894900873177,AU25_r,mean
CD,ND,0.8202473049196184,0.28770051914108424,0.5325467857785342,0.17640534844500277,3.0188811760691276,7.955154780052885,0.06508902371528058,1.5423574691618283,AU25_r,mean
ED,MD,0.7597257290797157,0.4518836771498135,0.3078420519299022,0.14549983322996438,2.1157553592749063,12.427066198085855,0.20124331601067502,1.0049986552595256,AU25_r,mean
ED,ND,0.7597257290797157,0.28770051914108424,0.47202520993863145,0.1250604020763794,3.7743778374416768,9.037113219840329,0.018755213609269905,1.875569506970394,AU25_r,mean
MD,ND,0.4518836771498135,0.28770051914108424,0.16418315800872924,0.09736261065246574,1.686306035843455,9.19109145683079,0.38266152733433556,0.8571825741624193,AU25_r,mean
