Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_Value,ED_Value,MD_Value
AU01_r,mean,ND_vs_CD_vs_ED_vs_MD,1.0975,0.38493402288764234,기각하지 못함 (차이 없음),0.1606,0.4057,0.3033,0.171
AU02_r,mean,ND_vs_CD_vs_ED_vs_MD,0.439,0.7287119616142533,기각하지 못함 (차이 없음),0.087,0.2166,0.0872,0.0797
AU04_r,mean,ND_vs_CD_vs_ED_vs_MD,2.2429,0.1252879617960916,기각하지 못함 (차이 없음),0.8193,0.8881,0.153,0.4495
AU05_r,mean,ND_vs_CD_vs_ED_vs_MD,2.6827,0.089195051299117,기각하지 못함 (차이 없음),0.0442,0.034,0.056,0.0882
AU06_r,mean,ND_vs_CD_vs_ED_vs_MD,0.8448,0.4904960830606785,기각하지 못함 (차이 없음),0.8094,0.6768,0.9313,0.5609
AU07_r,mean,ND_vs_CD_vs_ED_vs_MD,0.7238,0.5529258554362011,기각하지 못함 (차이 없음),0.5823,0.4633,0.7367,0.8405
AU09_r,mean,ND_vs_CD_vs_ED_vs_MD,2.844,0.08271139786132121,기각하지 못함 (차이 없음),0.0561,0.1017,0.1157,0.094
AU10_r,mean,ND_vs_CD_vs_ED_vs_MD,0.7984,0.5151590939992889,기각하지 못함 (차이 없음),0.8945,0.8233,0.6153,0.6099
AU12_r,mean,ND_vs_CD_vs_ED_vs_MD,0.8834,0.47249202322416883,기각하지 못함 (차이 없음),0.1,0.2138,0.3044,0.2381
AU14_r,mean,ND_vs_CD_vs_ED_vs_MD,0.827,0.49934157831073633,기각하지 못함 (차이 없음),0.9102,0.947,0.6443,0.5841
AU15_r,mean,ND_vs_CD_vs_ED_vs_MD,1.0517,0.39814309481576554,기각하지 못함 (차이 없음),0.1145,0.0846,0.1162,0.1711
AU17_r,mean,ND_vs_CD_vs_ED_vs_MD,3.9801,0.02755541114788013,기각 (차이 있음),0.2597,0.337,0.2222,0.3455
AU20_r,mean,ND_vs_CD_vs_ED_vs_MD,4.4644,0.018888297164659014,기각 (차이 있음),0.0849,0.0727,0.1233,0.0562
AU23_r,mean,ND_vs_CD_vs_ED_vs_MD,2.0955,0.15003744263364888,기각하지 못함 (차이 없음),0.1094,0.1475,0.195,0.2049
AU25_r,mean,ND_vs_CD_vs_ED_vs_MD,13.8066,0.00023184456429023854,기각 (차이 있음),0.2348,0.5123,0.5695,0.7963
AU26_r,mean,ND_vs_CD_vs_ED_vs_MD,5.182,0.011860324001976563,기각 (차이 있음),0.2842,0.571,0.3059,0.6452
AU45_r,mean,ND_vs_CD_vs_ED_vs_MD,3.0731,0.06903989821602963,기각하지 못함 (차이 없음),0.1557,0.3616,0.4349,0.179
pose_Tx,mean,ND_vs_CD_vs_ED_vs_MD,0.5188,0.6754871078288138,기각하지 못함 (차이 없음),-2165.5925,-37.3318,-36.3129,-45.17
