Feature,Total_Iterations,Significant_Count_P<0.05,Mean_P_value
LaneOffset,10.0,10.0,0.002737
Speed,10.0,10.0,0.000365
AU12_r,10.0,8.0,0.041267
AU25_r,10.0,8.0,0.036619
AU06_r,10.0,5.0,0.175534
AU26_r,10.0,4.0,0.184383
AU10_r,10.0,4.0,0.258001
gaze_0_z,10.0,3.0,0.226237
gaze_1_z,10.0,3.0,0.243622
AU20_r,10.0,3.0,0.306204
AU45_r,10.0,3.0,0.144832
AU02_r,10.0,2.0,0.335214
pose_Rz,10.0,2.0,0.420601
AU17_r,10.0,2.0,0.234484
gaze_0_x,10.0,1.0,0.585816
pose_Ty,10.0,1.0,0.519013
gaze_0_y,10.0,1.0,0.523901
gaze_angle_y,10.0,1.0,0.550362
gaze_1_y,10.0,1.0,0.526321
AU01_r,10.0,1.0,0.278941
Brake,10.0,1.0,0.173023
AU04_r,10.0,1.0,0.491714
AU05_r,10.0,1.0,0.418774
AU09_r,10.0,1.0,0.46087
AU07_r,10.0,1.0,0.331782
gaze_angle_x,10.0,0.0,0.634243
pose_Tx,10.0,0.0,0.428548
pose_Ry,10.0,0.0,0.522502
pose_Rx,10.0,0.0,0.429317
gaze_vel,10.0,0.0,0.354375
gaze_amp,10.0,0.0,0.355641
Steering,10.0,0.0,0.297296
gaze_acc,10.0,0.0,0.291941
AU14_r,10.0,0.0,0.414435
gaze_1_x,10.0,0.0,0.576928
AU15_r,10.0,0.0,0.452828
AU23_r,10.0,0.0,0.479561
Acceleration,10.0,0.0,0.592657
pose_Tz,10.0,0.0,0.445996
