A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature,Metric
CD,ED,0.30775543672140115,0.28122085108550354,0.026534585635897612,0.0455011895632028,0.5831624599405277,11.033499611724022,0.9351031292959432,0.29402009508136717,AU06_r,std
CD,MD,0.30775543672140115,0.4245429887808996,-0.11678755205949842,0.05383037668585426,-2.169547368041886,11.989321317350594,0.187024913655626,-1.0424953443311558,AU06_r,std
CD,ND,0.30775543672140115,0.22665716536750294,0.08109827135389822,0.03860668060766911,2.1006279244268486,7.879520336679329,0.23254620158616057,1.120623995192105,AU06_r,std
ED,MD,0.28122085108550354,0.4245429887808996,-0.14332213769539603,0.05136711393659154,-2.790153596565993,12.746747641872059,0.06542042135221404,-1.318981700194833,AU06_r,std
ED,ND,0.28122085108550354,0.22665716536750294,0.054563685718000604,0.03509055040287041,1.5549395803588562,11.866501589731174,0.4381782635836632,0.7304869477104039,AU06_r,std
MD,ND,0.4245429887808996,0.22665716536750294,0.19788582341339664,0.04537287658999411,4.361324171741749,9.64036542058619,0.007006032507614668,2.1380606935936664,AU06_r,std
CD,ED,0.34425349111071907,0.33522514188755476,0.009028349223164311,0.07506685529348016,0.12027077979845065,11.945100376422733,0.9993413136553194,0.0586023598630418,AU10_r,std
CD,MD,0.34425349111071907,0.42503093874899134,-0.08077744763827227,0.06211710389514493,-1.300405887799058,9.690994928119547,0.5835436031125083,-0.6760746736844679,AU10_r,std
CD,ND,0.34425349111071907,0.24926280388273547,0.0949906872279836,0.05814615388512363,1.6336538340205926,8.418235305299348,0.4114456030998038,0.849399315548279,AU10_r,std
ED,MD,0.33522514188755476,0.42503093874899134,-0.08980579686143658,0.06649082503477229,-1.3506494589963565,12.05372609889325,0.5507010558512623,-0.6384888351619145,AU10_r,std
ED,ND,0.33522514188755476,0.24926280388273547,0.08596233800481928,0.06279705748772747,1.3688911780877477,10.77596280681285,0.5425393850957048,0.6558903146072128,AU10_r,std
MD,ND,0.42503093874899134,0.24926280388273547,0.17576813486625587,0.04655074931496687,3.775839002654752,14.622984819118093,0.009170173426750083,1.69417232451486,AU10_r,std
CD,ED,0.2785830109723531,0.20998862971743076,0.06859438125492234,0.080313589135386,0.85408188070504,11.448540608797913,0.8278035901793751,0.42559910698620923,AU12_r,std
CD,MD,0.2785830109723531,0.4133621027942367,-0.13477909182188358,0.08924367559044823,-1.5102368983590924,11.996503879213028,0.4616428062824035,-0.7305266858616104,AU12_r,std
CD,ND,0.2785830109723531,0.1066396743027923,0.1719433366695608,0.06578003759196581,2.6139136273549575,7.863459059478558,0.11582551113737538,1.3955796721788227,AU12_r,std
ED,MD,0.20998862971743076,0.4133621027942367,-0.20337347307680592,0.08742778089359425,-2.326188209264121,13.471362657761677,0.14073356366646295,-1.0996526080157665,AU12_r,std
ED,ND,0.20998862971743076,0.1066396743027923,0.10334895541463847,0.06329452254883984,1.6328262107497769,11.220128689369307,0.40028575835477875,0.7759295753131954,AU12_r,std
MD,ND,0.4133621027942367,0.1066396743027923,0.3067224284914444,0.07429910913174644,4.128211388747168,9.882040882062674,0.009475353650833074,2.013429285583826,AU12_r,std
CD,ED,0.42680104658036394,0.4691258949613437,-0.042324848380979774,0.07207174704033287,-0.5872599197199132,9.797183731056219,0.93362694768249,-0.26604263038902026,AU25_r,std
CD,MD,0.42680104658036394,0.7486029196265623,-0.3218018730461984,0.1094190374013999,-2.9410044238067963,8.17364156168646,0.07101976239514596,-1.2986679653661568,AU25_r,std
CD,ND,0.42680104658036394,0.3321926026899201,0.09460844389044382,0.05289878513268166,1.7884804661041886,14.997432584543349,0.31645245646541564,0.7223472898765492,AU25_r,std
ED,MD,0.4691258949613437,0.7486029196265623,-0.2794770246652186,0.12355898495388976,-2.2618915554341514,11.69473698229461,0.16331738930479733,-1.0692578262052348,AU25_r,std
ED,ND,0.4691258949613437,0.3321926026899201,0.1369332922714236,0.07805497092114139,1.7543186635706614,12.733669923136432,0.33778716254339314,0.8121271957448915,AU25_r,std
MD,ND,0.7486029196265623,0.3321926026899201,0.4164103169366422,0.11344940506632659,3.670449542623814,9.360123840827614,0.020804945515460083,1.8104791657639734,AU25_r,std
CD,ED,0.4679365842580194,0.45920551833930173,0.00873106591871764,0.11144927871369327,0.07834116128420393,6.451643934795345,0.9998087372048559,0.04403987834431133,AU45_r,std
