Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_Value,ED_Value,MD_Value
AU01_r,std,ND_vs_CD_vs_ED_vs_MD,0.735,0.5503948200024154,기각하지 못함 (차이 없음),0.2937,0.4237,0.4826,0.4306
AU02_r,std,ND_vs_CD_vs_ED_vs_MD,1.221,0.3410786459841823,기각하지 못함 (차이 없음),0.1827,0.2359,0.4226,0.2587
AU04_r,std,ND_vs_CD_vs_ED_vs_MD,0.6294,0.6075923425825375,기각하지 못함 (차이 없음),0.2476,0.3357,0.272,0.1823
AU05_r,std,ND_vs_CD_vs_ED_vs_MD,0.9367,0.4518163810817407,기각하지 못함 (차이 없음),0.1258,0.1346,0.1946,0.137
AU06_r,std,ND_vs_CD_vs_ED_vs_MD,1.7491,0.20156838275996294,기각하지 못함 (차이 없음),0.2683,0.3715,0.3434,0.2782
AU07_r,std,ND_vs_CD_vs_ED_vs_MD,3.7356,0.03524260935396036,기각 (차이 있음),0.3148,0.3662,0.4878,0.263
AU09_r,std,ND_vs_CD_vs_ED_vs_MD,4.7837,0.017075837495004936,기각 (차이 있음),0.1256,0.2025,0.2921,0.1467
AU10_r,std,ND_vs_CD_vs_ED_vs_MD,0.323,0.8086819796574927,기각하지 못함 (차이 없음),0.2956,0.383,0.3522,0.3659
AU12_r,std,ND_vs_CD_vs_ED_vs_MD,2.5409,0.09248911034836274,기각하지 못함 (차이 없음),0.1613,0.2727,0.3588,0.2419
AU14_r,std,ND_vs_CD_vs_ED_vs_MD,0.2435,0.8647451061033982,기각하지 못함 (차이 없음),0.3895,0.3672,0.3464,0.3974
AU15_r,std,ND_vs_CD_vs_ED_vs_MD,1.0941,0.3821525127114242,기각하지 못함 (차이 없음),0.2527,0.2258,0.1807,0.2265
AU17_r,std,ND_vs_CD_vs_ED_vs_MD,2.3205,0.11659616694714117,기각하지 못함 (차이 없음),0.2604,0.2969,0.297,0.3614
AU20_r,std,ND_vs_CD_vs_ED_vs_MD,2.3015,0.11905114669569773,기각하지 못함 (차이 없음),0.2084,0.1589,0.1977,0.1339
AU23_r,std,ND_vs_CD_vs_ED_vs_MD,1.4219,0.27235527312343893,기각하지 못함 (차이 없음),0.2557,0.2068,0.3241,0.2866
AU25_r,std,ND_vs_CD_vs_ED_vs_MD,5.2268,0.013687520432602044,기각 (차이 있음),0.3221,0.5475,0.5849,0.592
AU26_r,std,ND_vs_CD_vs_ED_vs_MD,4.3383,0.019309649280989296,기각 (차이 있음),0.3295,0.3363,0.5135,0.4307
AU45_r,std,ND_vs_CD_vs_ED_vs_MD,3.3717,0.050538439557648196,기각하지 못함 (차이 없음),0.2834,0.5145,0.364,0.4337
pose_Tx,std,ND_vs_CD_vs_ED_vs_MD,2.1018,0.1447390602623174,기각하지 못함 (차이 없음),702353.3906,5.544,6.6135,4.2253
pose_Ty,std,ND_vs_CD_vs_ED_vs_MD,0.4754,0.7039260116880233,기각하지 못함 (차이 없음),526770.4428,6.4654,5.4747,6.2385
pose_Tz,std,ND_vs_CD_vs_ED_vs_MD,1.5176,0.25174947531530273,기각하지 못함 (차이 없음),1097419.8512,4.4455,5.2698,3.7537
pose_Rx,std,ND_vs_CD_vs_ED_vs_MD,2.3618,0.11271817009263528,기각하지 못함 (차이 없음),0.0758,0.0851,0.0566,0.0458
pose_Ry,std,ND_vs_CD_vs_ED_vs_MD,2.3922,0.11503123152313176,기각하지 못함 (차이 없음),0.053,0.0444,0.0394,0.0233
pose_Rz,std,ND_vs_CD_vs_ED_vs_MD,4.9355,0.01651822204865905,기각 (차이 있음),0.0403,0.0432,0.0465,0.022
Speed,std,ND_vs_CD_vs_ED_vs_MD,10.2958,0.0006405794530920143,기각 (차이 있음),11.4378,4.6455,5.2299,3.7321
Acceleration,std,ND_vs_CD_vs_ED_vs_MD,0.1495,0.9283022532268606,기각하지 못함 (차이 없음),3.8147,3.3854,3.9477,3.4721
Brake,std,ND_vs_CD_vs_ED_vs_MD,0.951,0.44255000174775394,기각하지 못함 (차이 없음),44.6928,30.9089,37.3786,25.7132
