Feature,Total_Iterations,Significant_Count_P<0.05,Mean_P_value
LaneOffset,10.0,10.0,0.002955
Speed,10.0,10.0,0.005213
AU12_r,10.0,6.0,0.083407
AU26_r,10.0,3.0,0.277634
AU25_r,10.0,2.0,0.153001
gaze_0_z,10.0,2.0,0.286805
AU06_r,10.0,2.0,0.240853
Brake,10.0,2.0,0.326429
AU10_r,10.0,2.0,0.397753
Acceleration,10.0,2.0,0.506101
gaze_0_y,10.0,1.0,0.4664
AU45_r,10.0,1.0,0.179138
gaze_acc,10.0,1.0,0.336586
AU20_r,10.0,1.0,0.405726
pose_Rz,10.0,1.0,0.459191
AU14_r,10.0,1.0,0.537813
AU09_r,10.0,1.0,0.360194
AU04_r,10.0,1.0,0.414145
gaze_1_z,10.0,0.0,0.301974
pose_Ry,10.0,0.0,0.550011
gaze_vel,10.0,0.0,0.413866
pose_Tx,10.0,0.0,0.50977
gaze_angle_y,10.0,0.0,0.545962
gaze_angle_x,10.0,0.0,0.490738
pose_Ty,10.0,0.0,0.495758
gaze_amp,10.0,0.0,0.421232
pose_Rx,10.0,0.0,0.602896
AU01_r,10.0,0.0,0.320274
gaze_1_y,10.0,0.0,0.506471
gaze_1_x,10.0,0.0,0.460184
gaze_0_x,10.0,0.0,0.508232
Steering,10.0,0.0,0.274302
AU02_r,10.0,0.0,0.399369
AU23_r,10.0,0.0,0.474736
AU17_r,10.0,0.0,0.414352
AU15_r,10.0,0.0,0.464245
AU07_r,10.0,0.0,0.629422
AU05_r,10.0,0.0,0.499927
pose_Tz,10.0,0.0,0.377255
