A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature,Metric
CD,ED,0.36360043805408265,0.18321785694417264,0.18038258110991,0.05348870593128568,3.3723489467409937,13.98819691566439,0.020993534206168896,1.2904423124760065,AU26_r,var
CD,MD,0.36360043805408265,0.21850626896918382,0.14509416908489883,0.06688640297167876,2.1692625502127094,6.947097949226245,0.22168906256446042,1.1193199605847113,AU26_r,var
CD,ND,0.36360043805408265,0.17878129923289143,0.18481913882119122,0.049161180134241284,3.759452851142252,13.90680895295609,0.010160783219862357,1.4780900881533985,AU26_r,var
ED,MD,0.18321785694417264,0.21850626896918382,-0.03528841202501118,0.07599368424348492,-0.4643598001111062,10.547171993422543,0.9652682809650269,-0.22255564182192902,AU26_r,var
ED,ND,0.18321785694417264,0.17878129923289143,0.004436557711281208,0.060975985228612826,0.07275909843272799,19.718527832699092,0.9998567961383666,0.02984643506204252,AU26_r,var
MD,ND,0.21850626896918382,0.17878129923289143,0.03972496973629239,0.07301246479120022,0.5440847648397732,9.482269851412077,0.9459506555376016,0.2707629964801008,AU26_r,var
CD,ED,36.71959625066987,31.972736409145497,4.746859841524376,17.98159666400924,0.26398433521898385,13.29880648146235,0.9932463085402011,0.09651497923700453,Speed,var
CD,MD,36.71959625066987,177.0347450551504,-140.31514880448054,117.593563942277,-1.1932213303217585,5.042709791855144,0.6559188532297342,-0.5979595248998396,Speed,var
CD,ND,36.71959625066987,127.3391123744123,-90.61951612374241,19.440057676538288,-4.661483912833695,12.929110200983342,0.0022273575356673847,-1.6831495918096304,Speed,var
ED,MD,31.972736409145497,177.0347450551504,-145.06200864600493,118.46476636570816,-1.2245160573582647,5.1929766486751,0.6387610074325629,-0.8019317226455992,Speed,var
ED,ND,31.972736409145497,127.3391123744123,-95.3663759652668,24.157202485026442,-3.947740886983024,19.82658091813542,0.0041227878345307944,-1.6193987358715098,Speed,var
MD,ND,177.0347450551504,127.3391123744123,49.695632680738115,118.69489834850462,0.4186838134763372,5.233006834918372,0.9729284202760748,0.2728811175379214,Speed,var
CD,ED,0.03063028306330657,0.03792178298159468,-0.007291499918288112,0.011307702693751613,-0.6448259311166038,13.204471650814012,0.9155073555507823,-0.234947743007811,LaneOffset,var
CD,MD,0.03063028306330657,0.0510850665436233,-0.020454783480316728,0.01959141080379593,-1.0440689384326276,5.610734754523922,0.7329451087891481,-0.5279938544541988,LaneOffset,var
CD,ND,0.03063028306330657,0.06377742135180137,-0.0331471382884948,0.0065315968634539435,-5.0748904106378685,10.952827647920891,0.0017469731135244526,-2.2647039239055795,LaneOffset,var
ED,MD,0.03792178298159468,0.0510850665436233,-0.013163283562028616,0.021609685207069296,-0.609138145044447,8.003945780997094,0.926333404045789,-0.3229508996042947,LaneOffset,var
ED,ND,0.03792178298159468,0.06377742135180137,-0.025855638370206685,0.01121681216086902,-2.305079018832702,13.711861401459148,0.1449054056684519,-0.9455640975551362,LaneOffset,var
MD,ND,0.0510850665436233,0.06377742135180137,-0.012692354808178069,0.01953909189612029,-0.6495877533949406,5.568790757231467,0.9117400567618255,-0.4079955781169879,LaneOffset,var
