Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_Value,ED_Value,MD_Value
AU01_r,var,ND_vs_CD_vs_ED_vs_MD,1.7308,0.22017023788707013,기각하지 못함 (차이 없음),0.0741,0.4392,0.2527,0.7675
AU02_r,var,ND_vs_CD_vs_ED_vs_MD,0.6308,0.6085584404970266,기각하지 못함 (차이 없음),0.0919,0.1946,0.0866,0.3756
AU04_r,var,ND_vs_CD_vs_ED_vs_MD,2.8533,0.07549313427757359,기각하지 못함 (차이 없음),0.0413,0.0286,0.1827,0.1648
AU05_r,var,ND_vs_CD_vs_ED_vs_MD,1.1789,0.35486407645956936,기각하지 못함 (차이 없음),0.0239,0.0347,0.0161,0.0553
AU06_r,var,ND_vs_CD_vs_ED_vs_MD,5.7816,0.010535864720822795,기각 (차이 있음),0.0457,0.1304,0.1344,0.0934
AU07_r,var,ND_vs_CD_vs_ED_vs_MD,1.556,0.24331160689817546,기각하지 못함 (차이 없음),0.0972,0.2073,0.1182,0.2081
AU09_r,var,ND_vs_CD_vs_ED_vs_MD,2.467,0.1113040339880776,기각하지 못함 (차이 없음),0.0329,0.0628,0.022,0.0901
AU10_r,var,ND_vs_CD_vs_ED_vs_MD,8.4923,0.002419591033004171,기각 (차이 있음),0.0501,0.1733,0.1561,0.1178
AU12_r,var,ND_vs_CD_vs_ED_vs_MD,5.8307,0.010478018005749098,기각 (차이 있음),0.016,0.1433,0.0846,0.1488
AU14_r,var,ND_vs_CD_vs_ED_vs_MD,1.1043,0.3779240633072728,기각하지 못함 (차이 없음),0.1097,0.1027,0.178,0.1644
AU15_r,var,ND_vs_CD_vs_ED_vs_MD,0.9226,0.453534995930598,기각하지 못함 (차이 없음),0.0386,0.0443,0.0328,0.0586
AU17_r,var,ND_vs_CD_vs_ED_vs_MD,1.2169,0.33727388996373275,기각하지 못함 (차이 없음),0.073,0.0929,0.1227,0.0775
AU20_r,var,ND_vs_CD_vs_ED_vs_MD,0.8368,0.49834656971869373,기각하지 못함 (차이 없음),0.0265,0.0437,0.025,0.039
AU23_r,var,ND_vs_CD_vs_ED_vs_MD,1.5769,0.2420344311660508,기각하지 못함 (차이 없음),0.0512,0.1899,0.042,0.0697
AU25_r,var,ND_vs_CD_vs_ED_vs_MD,6.0251,0.010285208943525002,기각 (차이 있음),0.0881,0.46,0.3525,0.2054
AU26_r,var,ND_vs_CD_vs_ED_vs_MD,4.8692,0.01871755439140324,기각 (차이 있음),0.0851,0.2456,0.2236,0.2362
AU45_r,var,ND_vs_CD_vs_ED_vs_MD,2.4452,0.11673695055804423,기각하지 못함 (차이 없음),0.1078,0.2153,0.2815,0.3143
pose_Tx,var,ND_vs_CD_vs_ED_vs_MD,0.149,0.9286816466274038,기각하지 못함 (차이 없음),43.8634,35.4379,40.7999,39.4831
pose_Ty,var,ND_vs_CD_vs_ED_vs_MD,0.5667,0.6450923899297127,기각하지 못함 (차이 없음),64.3785,22.3231,42.8695,25.5046
pose_Tz,var,ND_vs_CD_vs_ED_vs_MD,0.288,0.8333609122427857,기각하지 못함 (차이 없음),52.7987,21.8754,19.3866,26.0718
pose_Rx,var,ND_vs_CD_vs_ED_vs_MD,0.064,0.9781133375640026,기각하지 못함 (차이 없음),0.0042,0.0041,0.0033,0.0039
pose_Ry,var,ND_vs_CD_vs_ED_vs_MD,0.0089,0.9987809258711688,기각하지 못함 (차이 없음),0.0016,0.0017,0.0015,0.0017
pose_Rz,var,ND_vs_CD_vs_ED_vs_MD,3.4401,0.049856353421950675,기각 (차이 있음),0.0014,0.0032,0.0006,0.0013
Speed,var,ND_vs_CD_vs_ED_vs_MD,7.0691,0.00342385629197661,기각 (차이 있음),175.462,30.146,121.6229,17.1409
Acceleration,var,ND_vs_CD_vs_ED_vs_MD,1.1667,0.36268302854320644,기각하지 못함 (차이 없음),12.7116,11.2722,28.9182,11.5856
