Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_ED_Value,MD_Value
AU01_r,mean,ND_vs_CD_ED_vs_MD,0.9448,0.4098702902752782,기각하지 못함 (차이 없음),0.1761,0.3608,0.1883
AU02_r,mean,ND_vs_CD_ED_vs_MD,0.2658,0.7700358296056835,기각하지 못함 (차이 없음),0.0923,0.1487,0.0851
AU04_r,mean,ND_vs_CD_ED_vs_MD,1.4138,0.2681434296976444,기각하지 못함 (차이 없음),0.8063,0.7759,0.357
AU05_r,mean,ND_vs_CD_ED_vs_MD,3.2983,0.060844869914945504,기각하지 못함 (차이 없음),0.0476,0.0402,0.0849
AU06_r,mean,ND_vs_CD_ED_vs_MD,0.605,0.5567885587932663,기각하지 못함 (차이 없음),0.8118,0.7522,0.6298
AU07_r,mean,ND_vs_CD_ED_vs_MD,0.0353,0.9654181255355095,기각하지 못함 (차이 없음),0.6848,0.6154,0.7039
AU09_r,mean,ND_vs_CD_ED_vs_MD,3.099,0.07903671681133706,기각하지 못함 (차이 없음),0.0565,0.097,0.1036
AU10_r,mean,ND_vs_CD_ED_vs_MD,0.6528,0.5335964539344978,기각하지 못함 (차이 없음),0.8323,0.6913,0.6329
AU12_r,mean,ND_vs_CD_ED_vs_MD,2.5478,0.10814867081198926,기각하지 못함 (차이 없음),0.0763,0.2356,0.2874
AU14_r,mean,ND_vs_CD_ED_vs_MD,0.9205,0.41527817899477626,기각하지 못함 (차이 없음),0.7403,0.9694,0.5954
AU15_r,mean,ND_vs_CD_ED_vs_MD,1.3814,0.2756201098389352,기각하지 못함 (차이 없음),0.1214,0.0911,0.1581
AU17_r,mean,ND_vs_CD_ED_vs_MD,0.097,0.9079106527797748,기각하지 못함 (차이 없음),0.2938,0.293,0.3138
AU20_r,mean,ND_vs_CD_ED_vs_MD,1.2447,0.3088560844794854,기각하지 못함 (차이 없음),0.0923,0.1005,0.0725
AU23_r,mean,ND_vs_CD_ED_vs_MD,4.7004,0.02449775585698793,기각 (차이 있음),0.1075,0.1172,0.233
AU25_r,mean,ND_vs_CD_ED_vs_MD,9.7421,0.0021371138582951333,기각 (차이 있음),0.2603,0.5942,0.6957
AU26_r,mean,ND_vs_CD_ED_vs_MD,4.9629,0.021472605622688882,기각 (차이 있음),0.2982,0.4504,0.5733
AU45_r,mean,ND_vs_CD_ED_vs_MD,4.0642,0.041025995077781284,기각 (차이 있음),0.1644,0.4857,0.1993
pose_Tx,mean,ND_vs_CD_ED_vs_MD,0.9799,0.39305501883949034,기각하지 못함 (차이 없음),-2352.9889,-38.4838,-41.659
pose_Ty,mean,ND_vs_CD_ED_vs_MD,1.1659,0.3336444296798964,기각하지 못함 (차이 없음),-1713.0039,16.9351,23.5794
pose_Tz,mean,ND_vs_CD_ED_vs_MD,1.1379,0.3412397859901659,기각하지 못함 (차이 없음),3894.4439,268.6274,273.494
pose_Rx,mean,ND_vs_CD_ED_vs_MD,0.4865,0.6229751131779965,기각하지 못함 (차이 없음),-0.0072,0.067,-0.0145
pose_Ry,mean,ND_vs_CD_ED_vs_MD,0.1968,0.8228670175591528,기각하지 못함 (차이 없음),-0.0209,-0.0305,-0.0069
pose_Rz,mean,ND_vs_CD_ED_vs_MD,0.6601,0.5281589748171304,기각하지 못함 (차이 없음),0.0216,0.0344,0.0158
Speed,mean,ND_vs_CD_ED_vs_MD,0.163,0.8510448402685773,기각하지 못함 (차이 없음),71.2176,69.9341,71.2548
Acceleration,mean,ND_vs_CD_ED_vs_MD,0.6227,0.5498315578370729,기각하지 못함 (차이 없음),6.0308,5.7847,5.6754
Brake,mean,ND_vs_CD_ED_vs_MD,0.2596,0.7742799661245707,기각하지 못함 (차이 없음),11.7172,16.4613,14.5437
Steering,mean,ND_vs_CD_ED_vs_MD,1.1092,0.3525625588923658,기각하지 못함 (차이 없음),0.0003,0.0,0.0059
LaneOffset,mean,ND_vs_CD_ED_vs_MD,0.3765,0.6910817904083574,기각하지 못함 (차이 없음),-0.0469,-0.024,-0.064
gaze_0_x,mean,ND_vs_CD_ED_vs_MD,0.101,0.9044093959092276,기각하지 못함 (차이 없음),0.1514,0.1635,0.1588
gaze_0_y,mean,ND_vs_CD_ED_vs_MD,0.2292,0.7975324717282425,기각하지 못함 (차이 없음),0.1731,0.2129,0.1593
gaze_0_z,mean,ND_vs_CD_ED_vs_MD,0.4684,0.6338688882958735,기각하지 못함 (차이 없음),-0.9536,-0.9363,-0.9523
gaze_1_x,mean,ND_vs_CD_ED_vs_MD,0.3973,0.6770245862120496,기각하지 못함 (차이 없음),-0.0483,-0.0264,-0.0485
gaze_1_y,mean,ND_vs_CD_ED_vs_MD,0.139,0.8711625910212191,기각하지 못함 (차이 없음),0.1849,0.2193,0.175
gaze_1_z,mean,ND_vs_CD_ED_vs_MD,0.4004,0.6759379851023046,기각하지 못함 (차이 없음),-0.959,-0.945,-0.9627
gaze_angle_x,mean,ND_vs_CD_ED_vs_MD,0.2969,0.7461818705887073,기각하지 못함 (차이 없음),0.0527,0.0712,0.0574
gaze_angle_y,mean,ND_vs_CD_ED_vs_MD,0.1916,0.8273831168668411,기각하지 못함 (차이 없음),0.1841,0.2251,0.1724
gaze_vel,mean,ND_vs_CD_ED_vs_MD,1.1118,0.34718088738676545,기각하지 못함 (차이 없음),21.1553,23.7642,26.1243
gaze_amp,mean,ND_vs_CD_ED_vs_MD,0.9436,0.4047276259042405,기각하지 못함 (차이 없음),0.7887,0.8773,0.9604
gaze_acc,mean,ND_vs_CD_ED_vs_MD,4.505,0.02768475305152413,기각 (차이 있음),0.0514,0.5031,0.2814
