Feature,Total_Iterations,Significant_Count_P<0.05,Mean_P_value
LaneOffset,10.0,10.0,0.002022
Speed,10.0,10.0,0.000506
AU12_r,10.0,10.0,0.013221
AU25_r,10.0,8.0,0.024401
AU06_r,10.0,6.0,0.114787
AU45_r,10.0,6.0,0.11418
Brake,10.0,5.0,0.10979
AU26_r,10.0,5.0,0.22814
AU10_r,10.0,4.0,0.178296
gaze_vel,10.0,2.0,0.339177
gaze_acc,10.0,2.0,0.270051
gaze_amp,10.0,2.0,0.324177
gaze_1_x,10.0,2.0,0.417074
gaze_1_z,10.0,1.0,0.218767
AU17_r,10.0,1.0,0.18439
pose_Rx,10.0,1.0,0.424815
Acceleration,10.0,1.0,0.475965
AU09_r,10.0,1.0,0.333468
gaze_0_y,10.0,1.0,0.466733
gaze_0_z,10.0,1.0,0.195705
gaze_angle_y,10.0,1.0,0.480965
pose_Ry,10.0,0.0,0.428359
gaze_angle_x,10.0,0.0,0.474524
pose_Rz,10.0,0.0,0.480094
pose_Tx,10.0,0.0,0.381683
pose_Ty,10.0,0.0,0.506862
AU01_r,10.0,0.0,0.395227
gaze_1_y,10.0,0.0,0.439211
gaze_0_x,10.0,0.0,0.468995
Steering,10.0,0.0,0.266625
AU02_r,10.0,0.0,0.47929
AU23_r,10.0,0.0,0.469192
AU20_r,10.0,0.0,0.381218
AU15_r,10.0,0.0,0.490567
AU14_r,10.0,0.0,0.352726
AU07_r,10.0,0.0,0.316005
AU05_r,10.0,0.0,0.41496
AU04_r,10.0,0.0,0.441769
pose_Tz,10.0,0.0,0.47184
