A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature,Metric
CD_ED,MD,0.3422868235973304,0.33842210756683816,0.0038647160304922656,0.0482168013675935,0.08015289112665487,21.642758450360297,0.9964648905635309,0.030895704071195185,AU06_r,std
CD_ED,ND,0.3422868235973304,0.2308579908506607,0.11142883274666973,0.04778269080229084,2.331991582636604,23.59900148618305,0.07070082082190232,0.8689925446912189,AU06_r,std
MD,ND,0.33842210756683816,0.2308579908506607,0.10756411671617747,0.042123401044829485,2.553547767942651,23.139412698806076,0.04498544404882099,0.9612879308870071,AU06_r,std
CD_ED,MD,0.35466092936160953,0.2949260288303617,0.05973490053124786,0.07187314027668706,0.8311157728921942,21.829895709041264,0.6881296488651971,0.3214355444087895,AU12_r,std
CD_ED,ND,0.35466092936160953,0.11276746127013416,0.24189346809147538,0.058076219924247496,4.165103520976269,14.580536932069613,0.0023734378104509624,1.6237575726099873,AU12_r,std
MD,ND,0.2949260288303617,0.11276746127013416,0.18215856756022752,0.04948860308039098,3.6808185364279313,13.109133250921174,0.007177776741434827,1.5720336430706612,AU12_r,std
CD_ED,MD,0.572213316236616,0.5461212820821346,0.02609203415448136,0.10403987819822227,0.25078878028643437,19.4127977295526,0.9659830393603771,0.10088838996804161,AU25_r,std
CD_ED,ND,0.572213316236616,0.3306818550541184,0.24153146118249758,0.07966894982392814,3.0316887785805218,23.608366189271045,0.015474168309626113,1.1296683855384122,AU25_r,std
MD,ND,0.5461212820821346,0.3306818550541184,0.21543942702801622,0.09642785946952213,2.234203146406148,16.75831867361254,0.09420001048948312,0.9091653971298586,AU25_r,std
CD_ED,MD,4.768977599129239,7.511461429614143,-2.742483830484904,2.4810574559332306,-1.105368932076319,12.70207093017442,0.528012686834318,-0.46579884899156615,Speed,std
CD_ED,ND,4.768977599129239,11.548790565086428,-6.779812965957189,1.1197450353823362,-6.054782786906688,24.465431679089612,8.006373634850128e-06,-2.244553046723717,Speed,std
MD,ND,7.511461429614143,11.548790565086428,-4.037329135472285,2.437007714890172,-1.6566747453461526,11.927041838310467,0.26126300255026724,-0.7213120418114978,Speed,std
CD_ED,MD,0.17686064628911938,0.1955149375648343,-0.018654291275714913,0.029810944948881066,-0.6257531020134633,21.603598533528118,0.8076983254419836,-0.24666453172957506,LaneOffset,std
CD_ED,ND,0.17686064628911938,0.2512051045565621,-0.07434445826744271,0.021387280616999422,-3.476106177255229,13.843469987605916,0.009846247064315472,-1.3610861603906907,LaneOffset,std
MD,ND,0.1955149375648343,0.2512051045565621,-0.055690166991727796,0.02228244950925374,-2.4992838856697546,11.415291427394559,0.06889873777945976,-1.0982316304544855,LaneOffset,std
