Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_ED_Value,MD_Value
AU01_r,std,ND_vs_CD_ED_vs_MD,2.1988,0.1444046237308905,기각하지 못함 (차이 없음),0.2854,0.6004,0.38
AU02_r,std,ND_vs_CD_ED_vs_MD,1.3164,0.291697020806129,기각하지 못함 (차이 없음),0.2204,0.4204,0.2557
AU04_r,std,ND_vs_CD_ED_vs_MD,1.0217,0.37795085144232404,기각하지 못함 (차이 없음),0.2431,0.2736,0.1506
AU05_r,std,ND_vs_CD_ED_vs_MD,2.6127,0.10342331580591937,기각하지 못함 (차이 없음),0.1279,0.1587,0.1884
AU06_r,std,ND_vs_CD_ED_vs_MD,4.0626,0.03321998022335371,기각 (차이 있음),0.2238,0.3502,0.3086
AU07_r,std,ND_vs_CD_ED_vs_MD,3.3667,0.05518628140704893,기각하지 못함 (차이 없음),0.3277,0.4434,0.3141
AU09_r,std,ND_vs_CD_ED_vs_MD,2.5641,0.10092497372149933,기각하지 못함 (차이 없음),0.1407,0.2073,0.169
AU10_r,std,ND_vs_CD_ED_vs_MD,0.8714,0.4320587050438028,기각하지 못함 (차이 없음),0.309,0.3836,0.3181
AU12_r,std,ND_vs_CD_ED_vs_MD,8.8827,0.002341151099597758,기각 (차이 있음),0.1189,0.3274,0.3033
AU14_r,std,ND_vs_CD_ED_vs_MD,1.4826,0.24886662537158183,기각하지 못함 (차이 없음),0.3945,0.4207,0.3147
AU15_r,std,ND_vs_CD_ED_vs_MD,1.5239,0.24101757918439573,기각하지 못함 (차이 없음),0.2029,0.2484,0.178
AU17_r,std,ND_vs_CD_ED_vs_MD,2.3049,0.12388294895409555,기각하지 못함 (차이 없음),0.2728,0.3489,0.2734
AU20_r,std,ND_vs_CD_ED_vs_MD,0.3645,0.6990512203311303,기각하지 못함 (차이 없음),0.1983,0.1833,0.1643
AU23_r,std,ND_vs_CD_ED_vs_MD,0.6751,0.5200231449182184,기각하지 못함 (차이 없음),0.2707,0.2362,0.3097
AU25_r,std,ND_vs_CD_ED_vs_MD,8.8011,0.002485539861681611,기각 (차이 있음),0.3138,0.6487,0.4643
AU26_r,std,ND_vs_CD_ED_vs_MD,0.4237,0.6600555423039046,기각하지 못함 (차이 없음),0.3754,0.425,0.3776
AU45_r,std,ND_vs_CD_ED_vs_MD,5.3309,0.017451459332149935,기각 (차이 있음),0.2764,0.4576,0.4782
pose_Tx,std,ND_vs_CD_ED_vs_MD,0.7027,0.506697662610824,기각하지 못함 (차이 없음),515061.8336,4.9631,5.6552
pose_Ty,std,ND_vs_CD_ED_vs_MD,0.7197,0.4980514090977865,기각하지 못함 (차이 없음),386300.0584,5.3285,6.2486
pose_Tz,std,ND_vs_CD_ED_vs_MD,0.6174,0.5485547619246434,기각하지 못함 (차이 없음),804776.5598,4.1775,4.3509
pose_Rx,std,ND_vs_CD_ED_vs_MD,1.0955,0.35150197737931976,기각하지 못함 (차이 없음),0.0734,0.0508,0.0641
pose_Ry,std,ND_vs_CD_ED_vs_MD,1.297,0.2944590424319847,기각하지 못함 (차이 없음),0.0585,0.0272,0.0311
pose_Rz,std,ND_vs_CD_ED_vs_MD,1.5882,0.22776210437443398,기각하지 못함 (차이 없음),0.045,0.0282,0.0401
Speed,std,ND_vs_CD_ED_vs_MD,27.2942,1.2562725747217557e-06,기각 (차이 있음),12.3614,3.7033,4.8266
Acceleration,std,ND_vs_CD_ED_vs_MD,1.5772,0.23031765054222653,기각하지 못함 (차이 없음),4.2702,3.2668,3.4394
Brake,std,ND_vs_CD_ED_vs_MD,5.0373,0.01633066533853187,기각 (차이 있음),55.3901,28.0764,26.003
Steering,std,ND_vs_CD_ED_vs_MD,0.8401,0.4520520314766878,기각하지 못함 (차이 없음),0.0249,0.0295,0.1105
LaneOffset,std,ND_vs_CD_ED_vs_MD,21.3898,1.3223131066831235e-05,기각 (차이 있음),0.2737,0.1564,0.1864
gaze_0_x,std,ND_vs_CD_ED_vs_MD,0.9787,0.39138034784099857,기각하지 못함 (차이 없음),0.0469,0.0384,0.046
gaze_0_y,std,ND_vs_CD_ED_vs_MD,4.0835,0.03155712197735941,기각 (차이 있음),0.0537,0.0536,0.0729
gaze_0_z,std,ND_vs_CD_ED_vs_MD,3.0686,0.07214117744890008,기각하지 못함 (차이 없음),0.0808,0.0226,0.0455
gaze_1_x,std,ND_vs_CD_ED_vs_MD,2.9406,0.07503709833964013,기각하지 못함 (차이 없음),0.0504,0.0368,0.0434
gaze_1_y,std,ND_vs_CD_ED_vs_MD,2.8707,0.07821092617761645,기각하지 못함 (차이 없음),0.0562,0.0552,0.0704
gaze_1_z,std,ND_vs_CD_ED_vs_MD,3.2033,0.06498704860834234,기각하지 못함 (차이 없음),0.0814,0.0212,0.0451
gaze_angle_x,std,ND_vs_CD_ED_vs_MD,1.8764,0.17654509169596141,기각하지 못함 (차이 없음),0.043,0.0288,0.0347
gaze_angle_y,std,ND_vs_CD_ED_vs_MD,4.6472,0.020550397694328933,기각 (차이 있음),0.0548,0.0529,0.0724
gaze_vel,std,ND_vs_CD_ED_vs_MD,0.6552,0.5292311803407371,기각하지 못함 (차이 없음),32.4645,33.4103,38.343
gaze_amp,std,ND_vs_CD_ED_vs_MD,0.8185,0.45416250050820206,기각하지 못함 (차이 없음),1.1778,1.2344,1.418
gaze_acc,std,ND_vs_CD_ED_vs_MD,0.6507,0.5313439063193865,기각하지 못함 (차이 없음),997.9584,1069.489,1178.6273
