Feature,Total_Iterations,Significant_Count_P<0.05,Mean_P_value
LaneOffset,10.0,10.0,0.007798
Speed,10.0,10.0,0.001224
AU12_r,10.0,9.0,0.018578
AU45_r,10.0,5.0,0.075474
AU25_r,10.0,5.0,0.067922
AU06_r,10.0,4.0,0.126064
AU10_r,10.0,4.0,0.182902
gaze_acc,10.0,3.0,0.22855
gaze_0_z,10.0,3.0,0.21962
gaze_vel,10.0,2.0,0.307656
AU26_r,10.0,2.0,0.265478
Brake,10.0,2.0,0.35252
AU20_r,10.0,2.0,0.526121
AU14_r,10.0,1.0,0.527352
gaze_1_y,10.0,1.0,0.504629
AU04_r,10.0,1.0,0.464233
gaze_1_z,10.0,1.0,0.234708
pose_Ry,10.0,0.0,0.472832
pose_Rx,10.0,0.0,0.507842
pose_Rz,10.0,0.0,0.331239
pose_Tx,10.0,0.0,0.507666
gaze_angle_y,10.0,0.0,0.585442
gaze_angle_x,10.0,0.0,0.513323
pose_Ty,10.0,0.0,0.458424
gaze_amp,10.0,0.0,0.310115
AU01_r,10.0,0.0,0.251981
gaze_1_x,10.0,0.0,0.471346
gaze_0_y,10.0,0.0,0.552194
gaze_0_x,10.0,0.0,0.698146
Steering,10.0,0.0,0.228603
AU02_r,10.0,0.0,0.336115
Acceleration,10.0,0.0,0.477871
AU23_r,10.0,0.0,0.531522
AU17_r,10.0,0.0,0.446905
AU15_r,10.0,0.0,0.554696
AU09_r,10.0,0.0,0.317406
AU07_r,10.0,0.0,0.580138
AU05_r,10.0,0.0,0.534214
pose_Tz,10.0,0.0,0.416434
