Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_ED_Value,MD_Value
AU01_r,var,ND_vs_CD_ED_vs_MD,0.8666,0.43977488802333015,기각하지 못함 (차이 없음),0.1233,0.1208,0.5222
AU02_r,var,ND_vs_CD_ED_vs_MD,3.3889,0.0576869388517995,기각하지 못함 (차이 없음),0.0723,0.0308,0.3417
AU04_r,var,ND_vs_CD_ED_vs_MD,1.0632,0.36388596742592166,기각하지 못함 (차이 없음),0.0884,0.0531,0.115
AU05_r,var,ND_vs_CD_ED_vs_MD,0.7575,0.4879538415302675,기각하지 못함 (차이 없음),0.0261,0.0276,0.0506
AU06_r,var,ND_vs_CD_ED_vs_MD,5.1583,0.016384311151146,기각 (차이 있음),0.0863,0.0596,0.1519
AU07_r,var,ND_vs_CD_ED_vs_MD,0.3843,0.6863928688974934,기각하지 못함 (차이 없음),0.1617,0.1275,0.1754
AU09_r,var,ND_vs_CD_ED_vs_MD,0.4184,0.6650665555232756,기각하지 못함 (차이 없음),0.0372,0.0722,0.0487
AU10_r,var,ND_vs_CD_ED_vs_MD,4.6488,0.021834489345338395,기각 (차이 있음),0.1557,0.0941,0.2035
AU12_r,var,ND_vs_CD_ED_vs_MD,7.2718,0.008666688763824227,기각 (차이 있음),0.0227,0.075,0.1925
AU14_r,var,ND_vs_CD_ED_vs_MD,1.8414,0.18685721874233016,기각하지 못함 (차이 없음),0.1273,0.115,0.2134
AU15_r,var,ND_vs_CD_ED_vs_MD,0.505,0.6124373801749663,기각하지 못함 (차이 없음),0.0492,0.0536,0.0728
AU17_r,var,ND_vs_CD_ED_vs_MD,2.8773,0.08086668925725393,기각하지 못함 (차이 없음),0.1024,0.0748,0.1288
AU20_r,var,ND_vs_CD_ED_vs_MD,3.6488,0.046043625811435715,기각 (차이 있음),0.059,0.0177,0.0402
AU23_r,var,ND_vs_CD_ED_vs_MD,0.2403,0.7887792839477787,기각하지 못함 (차이 없음),0.1148,0.0759,0.0749
AU25_r,var,ND_vs_CD_ED_vs_MD,4.0099,0.036827408006613827,기각 (차이 있음),0.1755,0.1755,0.5829
AU26_r,var,ND_vs_CD_ED_vs_MD,0.8487,0.4453871602453295,기각하지 못함 (차이 없음),0.1535,0.209,0.2163
AU45_r,var,ND_vs_CD_ED_vs_MD,1.5267,0.2490129554037426,기각하지 못함 (차이 없음),0.1142,0.2481,0.1691
pose_Tx,var,ND_vs_CD_ED_vs_MD,0.8512,0.44234948389901996,기각하지 못함 (차이 없음),3341917464515.9014,39.1806,64.7806
pose_Ty,var,ND_vs_CD_ED_vs_MD,0.749,0.48639554396490975,기각하지 못함 (차이 없음),1879863592700.6377,25.4937,38.378
pose_Tz,var,ND_vs_CD_ED_vs_MD,0.5305,0.5985034545965017,기각하지 못함 (차이 없음),8158860630314.175,20.7788,17.9187
pose_Rx,var,ND_vs_CD_ED_vs_MD,1.8393,0.18413958026858354,기각하지 못함 (차이 없음),0.01,0.0023,0.0037
pose_Ry,var,ND_vs_CD_ED_vs_MD,1.0345,0.3735382052759214,기각하지 못함 (차이 없음),0.0091,0.0011,0.0018
pose_Rz,var,ND_vs_CD_ED_vs_MD,1.7735,0.20239883039277118,기각하지 못함 (차이 없음),0.004,0.0007,0.0018
Speed,var,ND_vs_CD_ED_vs_MD,7.2755,0.005835165475419507,기각 (차이 있음),121.6107,30.6912,119.3698
Acceleration,var,ND_vs_CD_ED_vs_MD,2.2057,0.13723610456634905,기각하지 못함 (차이 없음),17.7941,10.0225,23.2856
Brake,var,ND_vs_CD_ED_vs_MD,2.134,0.14593307528628363,기각하지 못함 (차이 없음),2959.719,1166.3321,3322.6405
Steering,var,ND_vs_CD_ED_vs_MD,1.121,0.3595669731265089,기각하지 못함 (차이 없음),0.0008,0.0053,0.0697
LaneOffset,var,ND_vs_CD_ED_vs_MD,4.1302,0.036531773451363075,기각 (차이 있음),0.0724,0.0407,0.0432
gaze_0_x,var,ND_vs_CD_ED_vs_MD,0.7205,0.4991991370959599,기각하지 못함 (차이 없음),0.0036,0.0019,0.002
gaze_0_y,var,ND_vs_CD_ED_vs_MD,1.6783,0.21366249781612176,기각하지 못함 (차이 없음),0.0045,0.0032,0.0047
gaze_0_z,var,ND_vs_CD_ED_vs_MD,1.4155,0.2697758232615877,기각하지 못함 (차이 없음),0.0224,0.0014,0.004
gaze_1_x,var,ND_vs_CD_ED_vs_MD,0.688,0.5163579180174273,기각하지 못함 (차이 없음),0.0032,0.0031,0.0021
gaze_1_y,var,ND_vs_CD_ED_vs_MD,0.3264,0.7255617583744238,기각하지 못함 (차이 없음),0.0047,0.0039,0.0045
gaze_1_z,var,ND_vs_CD_ED_vs_MD,1.2736,0.3044255014770874,기각하지 못함 (차이 없음),0.0228,0.0016,0.004
gaze_angle_x,var,ND_vs_CD_ED_vs_MD,0.8043,0.4641157402570743,기각하지 못함 (차이 없음),0.0028,0.0017,0.0012
gaze_angle_y,var,ND_vs_CD_ED_vs_MD,0.4521,0.6432907008465782,기각하지 못함 (차이 없음),0.0045,0.0036,0.0043
gaze_vel,var,ND_vs_CD_ED_vs_MD,0.7194,0.5008574650988737,기각하지 못함 (차이 없음),1285.5324,1868.9418,1801.3288
gaze_amp,var,ND_vs_CD_ED_vs_MD,0.6251,0.5467235259942396,기각하지 못함 (차이 없음),1.7803,2.5289,2.3846
gaze_acc,var,ND_vs_CD_ED_vs_MD,1.2094,0.3219032922599799,기각하지 못함 (차이 없음),1149438.7421,1769628.9625,1773584.3641
