experiment,ablation,removed_type,removed_name,removed_group,num_features,acc_mean,acc_std,bacc_mean,bacc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,spec_mean,spec_std,auc_mean,auc_std
4Class_ND_CD_ED_MD,baseline_all_features,baseline,none,none,39,0.4611811296898954,0.010429263520561977,0.46118112968989544,0.010429263520562008,0.4777829554959256,0.017963887048171312,0.46118112968989544,0.010429263520562008,0.4622173606471726,0.011378245806950455,0.8203937098966317,0.003476421173520629,0.7010292033986574,0.011915578070441912
4Class_ND_CD_ED_MD,group_minus_AU,group,AU,AU,22,0.37190213177948456,0.02326445302900494,0.37190213177948456,0.023264453029004935,0.39844423527385375,0.02170459548325886,0.37190213177948456,0.023264453029004935,0.3789679357767805,0.02139651572703953,0.790634043926495,0.007754817676334997,0.630965246149945,0.015337488919706675
4Class_ND_CD_ED_MD,group_minus_POSE,group,POSE,POSE,33,0.46677071903829265,0.015039784061868258,0.46677071903829265,0.01503978406186826,0.4917189193870944,0.018739710827943776,0.46677071903829265,0.01503978406186826,0.4703484608301329,0.01596528626126582,0.8222569063460975,0.005013261353956077,0.7096744492510952,0.015083387541697349
4Class_ND_CD_ED_MD,group_minus_VEHICLE,group,VEHICLE,VEHICLE,34,0.4493464566939208,0.02074571257579435,0.4493464566939208,0.020745712575794353,0.4628346979017234,0.022050590636535458,0.4493464566939208,0.020745712575794353,0.44829375336766325,0.019376843166295905,0.8164488188979735,0.006915237525264841,0.6933080226378554,0.01816462975463267
4Class_ND_CD_ED_MD,group_minus_GAZE,group,GAZE,GAZE,28,0.45545539573808247,0.0287527311170779,0.45545539573808247,0.028752731117077913,0.4910321539990526,0.035351179219573016,0.45545539573808247,0.028752731117077913,0.45834033657650586,0.031582087806098204,0.8184851319126942,0.00958424370569262,0.7104792153207974,0.01954156520604043
4Class_ND_CD_ED_MD,feature_minus_AU01_r,feature,AU01_r,AU,38,0.4582260614722739,0.01119155902063761,0.4582260614722739,0.011191559020637634,0.47813928352777524,0.020692795843330784,0.4582260614722739,0.011191559020637634,0.461051911835483,0.012870030651459233,0.8194086871574247,0.003730519673545853,0.6981750457955854,0.010943003846411404
4Class_ND_CD_ED_MD,feature_minus_AU02_r,feature,AU02_r,AU,38,0.4565122508389883,0.0060283286683642506,0.4565122508389883,0.006028328668364253,0.47590741280615595,0.016117601643077843,0.4565122508389883,0.006028328668364253,0.458627467323692,0.008914615443980516,0.8188374169463295,0.002009442889454726,0.6983644338807805,0.009684711704273895
4Class_ND_CD_ED_MD,feature_minus_AU04_r,feature,AU04_r,AU,38,0.4620237536880813,0.01644502849735174,0.4620237536880813,0.016445028497351744,0.48346712175445195,0.02055547330618786,0.4620237536880813,0.016445028497351744,0.465778079125589,0.014500105722971878,0.8206745845626937,0.005481676165783904,0.7044031361953476,0.014792299280479433
4Class_ND_CD_ED_MD,feature_minus_AU05_r,feature,AU05_r,AU,38,0.4616303327485559,0.006609077809025029,0.4616303327485559,0.006609077809025044,0.475953065740158,0.016777228915593828,0.4616303327485559,0.006609077809025044,0.46193671842292067,0.009189884649920712,0.8205434442495185,0.0022030259363416817,0.6998500545697954,0.012844496238446348
4Class_ND_CD_ED_MD,feature_minus_AU06_r,feature,AU06_r,AU,38,0.46805768847971113,0.008559508121646933,0.46805768847971113,0.00855950812164695,0.4811520803482804,0.01230444848069314,0.46805768847971113,0.00855950812164695,0.46827658858117127,0.006822608791625931,0.8226858961599035,0.0028531693738823153,0.7025699216677966,0.01103851526250061
4Class_ND_CD_ED_MD,feature_minus_AU07_r,feature,AU07_r,AU,38,0.46614424930046744,0.009864629962151752,0.46614424930046744,0.009864629962151764,0.4771362056462228,0.020475092549051083,0.46614424930046744,0.009864629962151764,0.46586253854531473,0.012286572324274391,0.8220480831001558,0.0032882099873839245,0.7001182246564577,0.011679403603489921
4Class_ND_CD_ED_MD,feature_minus_AU09_r,feature,AU09_r,AU,38,0.46032772824079593,0.012291036923517185,0.4603277282407959,0.012291036923517195,0.47843408524083736,0.021834890700166996,0.4603277282407959,0.012291036923517195,0.4624159720009925,0.01475085777532731,0.820109242746932,0.0040970123078390795,0.6999451527821,0.011984791523707813
4Class_ND_CD_ED_MD,feature_minus_AU10_r,feature,AU10_r,AU,38,0.4647089085825771,0.008858175150818378,0.4647089085825771,0.00885817515081838,0.4778901626141332,0.013024784023992955,0.4647089085825771,0.00885817515081838,0.4646341935568367,0.008491477304074124,0.8215696361941923,0.002952725050272794,0.704034361876013,0.009994141520236383
4Class_ND_CD_ED_MD,feature_minus_AU12_r,feature,AU12_r,AU,38,0.4581491178307936,0.009913658898745873,0.4581491178307936,0.009913658898745886,0.4769526951357864,0.018488956891584234,0.4581491178307936,0.009913658898745886,0.4611051268036811,0.011336198439357823,0.8193830392769312,0.0033045529662485956,0.6967223809860967,0.012147833338424235
4Class_ND_CD_ED_MD,feature_minus_AU14_r,feature,AU14_r,AU,38,0.4628156647129421,0.008763691768326818,0.4628156647129421,0.008763691768326821,0.48110375315187853,0.017405822933424037,0.4628156647129421,0.008763691768326821,0.464448750118561,0.01029629474647046,0.8209385549043139,0.002921230589442251,0.7035920035572851,0.008095193247446732
4Class_ND_CD_ED_MD,feature_minus_AU15_r,feature,AU15_r,AU,38,0.4627093321529919,0.012677422236412978,0.4627093321529919,0.012677422236413013,0.48143512247811504,0.014777737402205613,0.4627093321529919,0.012677422236413013,0.4652725092957081,0.01098254997065534,0.8209031107176641,0.004225807412137651,0.7006153461390421,0.012912824544814409
4Class_ND_CD_ED_MD,feature_minus_AU17_r,feature,AU17_r,AU,38,0.4608334621221551,0.0025984980932640556,0.4608334621221551,0.0025984980932640556,0.47965356824101085,0.009784686135097144,0.4608334621221551,0.0025984980932640556,0.46330399558323465,0.006693344026591045,0.820277820707385,0.0008661660310880475,0.6966668210898654,0.008512172034987244
4Class_ND_CD_ED_MD,feature_minus_AU20_r,feature,AU20_r,AU,38,0.46222660533951326,0.009339716195316858,0.46222660533951326,0.009339716195316856,0.4778177705279454,0.017460059832300135,0.46222660533951326,0.009339716195316856,0.46376721872824433,0.011054687519531453,0.8207422017798379,0.0031132387317723037,0.6981602082983059,0.00924347720401654
4Class_ND_CD_ED_MD,feature_minus_AU23_r,feature,AU23_r,AU,38,0.45252914876358935,0.013775930057510072,0.45252914876358935,0.013775930057510072,0.46932401605896545,0.02155511636458465,0.45252914876358935,0.013775930057510072,0.453623663502441,0.01551718727228402,0.8175097162545297,0.004591976685836705,0.6950981631302987,0.014572961332646253
