experiment,ablation,removed_type,removed_name,removed_group,removed_groups,num_removed_groups,num_features,acc_mean,acc_std,bacc_mean,bacc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,spec_mean,spec_std,auc_mean,auc_std
4Class_ND_CD_ED_MD,baseline_all_features,baseline,none,none,none,0,39,0.5336178987605985,0.03394562627325669,0.5336178987605985,0.03394562627325669,0.5262317876775731,0.0375647089326188,0.5336178987605985,0.03394562627325669,0.525291811052454,0.03675655096296247,0.8445392995868662,0.011315208757752205,0.7769056630614333,0.025748298031535857
4Class_ND_CD_ED_MD,group_minus_AU_POSE,group,AU_POSE,"AU,POSE","AU,POSE",2,16,0.45761455004555407,0.019114992457370274,0.45761455004555396,0.019114992457370285,0.4483554299376481,0.011969755916480862,0.45761455004555396,0.019114992457370285,0.4453431582875614,0.015482732208858003,0.8192048500151847,0.006371664152456809,0.7078337246980538,0.016380453146208458
4Class_ND_CD_ED_MD,group_minus_AU_VEHICLE,group,AU_VEHICLE,"AU,VEHICLE","AU,VEHICLE",2,17,0.38696229633251195,0.008788415433285927,0.38696229633251195,0.008788415433285941,0.3738154662918299,0.02630052566272869,0.38696229633251195,0.008788415433285941,0.372093228804916,0.012182234073360084,0.7956540987775039,0.0029294718110953128,0.6459071089488393,0.01733066848501085
4Class_ND_CD_ED_MD,group_minus_AU_GAZE,group,AU_GAZE,"AU,GAZE","AU,GAZE",2,11,0.3897981000115819,0.03129592832778382,0.3897981000115819,0.031295928327783835,0.39137650248169537,0.039138806683633884,0.3897981000115819,0.031295928327783835,0.38177475833260355,0.025234955788073124,0.7965993666705273,0.010431976109261276,0.6544287071330992,0.030058471627668774
4Class_ND_CD_ED_MD,group_minus_POSE_VEHICLE,group,POSE_VEHICLE,"POSE,VEHICLE","POSE,VEHICLE",2,28,0.5435945558420872,0.020951597175026284,0.5435945558420872,0.020951597175026284,0.5372606419888136,0.031047780578258403,0.5435945558420872,0.020951597175026284,0.535356043220476,0.02587887483335499,0.8478648519473623,0.00698386572500874,0.792724109234465,0.009905001559749941
4Class_ND_CD_ED_MD,group_minus_POSE_GAZE,group,POSE_GAZE,"POSE,GAZE","POSE,GAZE",2,22,0.5673907676272874,0.022351250156322423,0.5673907676272874,0.022351250156322406,0.576507127600058,0.023925305271306277,0.5673907676272874,0.022351250156322406,0.5667175670130481,0.02492038642987862,0.8557969225424292,0.00745041671877417,0.8133181043842314,0.01468971792635548
4Class_ND_CD_ED_MD,group_minus_VEHICLE_GAZE,group,VEHICLE_GAZE,"VEHICLE,GAZE","VEHICLE,GAZE",2,23,0.4929582878006675,0.030955526909426524,0.4929582878006675,0.030955526909426524,0.49520499707923704,0.048946389295956655,0.4929582878006675,0.030955526909426524,0.4874275989174082,0.039877669685186315,0.8309860959335559,0.010318508969808826,0.7521840298798919,0.030562200778703526
4Class_ND_CD_ED_MD,feature_minus_AU01_r,feature,AU01_r,AU,AU,1,38,0.5375594934853564,0.03361376011752123,0.5375594934853564,0.033613760117521235,0.5301381190294306,0.03952236729501203,0.5375594934853564,0.033613760117521235,0.5293870218753538,0.03759043663412944,0.8458531644951188,0.011204586705840382,0.7799108892474793,0.028562327293453888
4Class_ND_CD_ED_MD,feature_minus_AU02_r,feature,AU02_r,AU,AU,1,38,0.5383980488675115,0.031239088136239986,0.5383980488675115,0.03123908813624001,0.5311514169336539,0.037992253958878376,0.5383980488675115,0.03123908813624001,0.5301371927512541,0.03630627534409224,0.8461326829558372,0.010413029378746623,0.7765713047018767,0.02454455600383619
4Class_ND_CD_ED_MD,feature_minus_AU04_r,feature,AU04_r,AU,AU,1,38,0.5369785536875941,0.03208624794320045,0.5369785536875941,0.03208624794320047,0.5303245673966217,0.03857103078330564,0.5369785536875941,0.03208624794320047,0.5294586185902195,0.03613958227258327,0.8456595178958647,0.010695415981066787,0.7780110600873273,0.02533986341285432
