A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature
CD,ED,0.05358938095962119,0.8468152093047645,-0.7932258283451433,0.3706744029795791,-2.139953074636349,7.078273000530971,0.22861002304614475,-0.9285762853987205,AU04_r
CD,MD,0.05358938095962119,0.6767885726366815,-0.6231991916770603,0.24387885423144207,-2.5553637835514906,7.181850662856817,0.13226176950636337,-1.1107196552771372,AU04_r
CD,ND,0.05358938095962119,0.6964742000924343,-0.6428848191328131,0.2554822784486723,-2.5163577804163513,10.235653259424442,0.11587352203325185,-0.8857600436366515,AU04_r
ED,MD,0.8468152093047645,0.6767885726366815,0.17002663666808304,0.44198054184439434,0.38469258388289723,12.078167578151865,0.9797459410746443,0.18185467601736957,AU04_r
ED,ND,0.8468152093047645,0.6964742000924343,0.15034100921233018,0.44848756775316345,0.3352177853346298,13.122364593193222,0.9864280671753857,0.15418837180262407,AU04_r
MD,ND,0.6767885726366815,0.6964742000924343,-0.019685627455752863,0.3510249007493941,-0.05608043023080847,16.71098584559985,0.9999339485167396,-0.024060538188101204,AU04_r
CD,ED,0.6019836026363806,0.7850806018571336,-0.18309699922075295,0.19496623545073652,-0.9391215807057902,10.014554784766458,0.7852103006743454,-0.42699125629362383,AU25_r
CD,MD,0.6019836026363806,0.5479517579292377,0.05403184470714295,0.1413900347363567,0.38214747459319587,11.914362283674535,0.9801158940772552,0.18222359109556882,AU25_r
CD,ND,0.6019836026363806,0.27766539634474796,0.32431820629163266,0.0968303445516099,3.3493447513116443,7.58747085031414,0.04326367506511308,1.8142105925238659,AU25_r
ED,MD,0.7850806018571336,0.5479517579292377,0.2371288439278959,0.2074002120349335,1.1433394479266736,11.909706964472322,0.6713441067773438,0.5404877390198815,AU25_r
ED,ND,0.7850806018571336,0.27766539634474796,0.5074152055123856,0.17999950459757025,2.8189811224582395,7.869062955017845,0.08695395425978059,1.4437533215002694,AU25_r
MD,ND,0.5479517579292377,0.27766539634474796,0.2702863615844897,0.11991301268956106,2.254020272880854,9.122325266448627,0.17969148620133424,1.117848969271204,AU25_r
CD,ED,0.5410429045722244,0.6171192366714447,-0.07607633209922038,0.16413973707344018,-0.4634851587777428,8.858476249423992,0.9651797576528443,-0.24534260145946446,AU26_r
CD,MD,0.5410429045722244,0.4518902057522354,0.089152698819989,0.16623298109656448,0.5363117368881228,9.1394206642166,0.9479568424091608,0.28216103250884467,AU26_r
CD,ND,0.5410429045722244,0.2837639118528332,0.2572789927193912,0.14710420610589867,1.7489574195735704,6.3398745546303115,0.37496846189031485,1.0261299039151692,AU26_r
ED,MD,0.6171192366714447,0.4518902057522354,0.16522903091920937,0.12768678915155143,1.294018214547623,13.974857318701387,0.5812964675454511,0.6117177014225132,AU26_r
ED,ND,0.6171192366714447,0.2837639118528332,0.3333553248186116,0.10153895594119877,3.283028880183264,11.390600320548007,0.03054312219799349,1.5553176147976842,AU26_r
MD,ND,0.4518902057522354,0.2837639118528332,0.1681262938994022,0.10488903799416502,1.6028967098425964,11.060821714286263,0.4157614465197721,0.763933463839305,AU26_r
