Feature,Comparison,Welch_F,P_value,Result,ND_Mean,CD_Mean,ED_Mean,MD_Mean
AU01_r,ND_CD_ED_MD,1.3289,0.3102041230047713,기각하지 못함 (차이 없음),0.1679,0.3817,0.3425,0.2961
AU02_r,ND_CD_ED_MD,1.3379,0.309305472974694,기각하지 못함 (차이 없음),0.0786,0.087,0.1946,0.1583
AU04_r,ND_CD_ED_MD,0.8021,0.5112470188521612,기각하지 못함 (차이 없음),0.6352,0.2917,0.8613,0.4278
AU05_r,ND_CD_ED_MD,0.7074,0.5650987789795384,기각하지 못함 (차이 없음),0.0544,0.0647,0.0832,0.0434
AU06_r,ND_CD_ED_MD,0.7461,0.5408473769968631,기각하지 못함 (차이 없음),0.8268,0.5438,0.6595,0.8613
AU07_r,ND_CD_ED_MD,0.3339,0.8009639787855874,기각하지 못함 (차이 없음),0.7557,0.7377,0.5566,0.5087
AU09_r,ND_CD_ED_MD,1.5427,0.2514322572114522,기각하지 못함 (차이 없음),0.0619,0.0709,0.0852,0.1251
AU10_r,ND_CD_ED_MD,0.5396,0.6622124163730064,기각하지 못함 (차이 없음),0.8299,0.5782,0.7596,0.9931
AU12_r,ND_CD_ED_MD,1.7119,0.21211125216225696,기각하지 못함 (차이 없음),0.092,0.1994,0.2348,0.3569
AU14_r,ND_CD_ED_MD,2.3585,0.11256054674495604,기각하지 못함 (차이 없음),0.5882,0.4297,1.0008,1.0819
AU15_r,ND_CD_ED_MD,0.5584,0.6506410562230458,기각하지 못함 (차이 없음),0.1269,0.1308,0.0845,0.1309
AU17_r,ND_CD_ED_MD,0.6821,0.5769804287109537,기각하지 못함 (차이 없음),0.3017,0.3242,0.2837,0.3704
AU20_r,ND_CD_ED_MD,0.4387,0.7287782865971113,기각하지 못함 (차이 없음),0.0945,0.1013,0.0719,0.0922
AU23_r,ND_CD_ED_MD,1.6063,0.23633543685640532,기각하지 못함 (차이 없음),0.1058,0.1913,0.1158,0.1659
AU25_r,ND_CD_ED_MD,3.6654,0.03917986825246402,기각 (차이 있음),0.3152,0.4898,0.7538,0.5577
AU26_r,ND_CD_ED_MD,4.7294,0.02082076216259429,기각 (차이 있음),0.2728,0.5873,0.4741,0.4706
AU45_r,ND_CD_ED_MD,2.8993,0.07688139896297527,기각하지 못함 (차이 없음),0.1639,0.4403,0.4034,0.2199
pose_Tx,ND_CD_ED_MD,2.2455,0.12147364814850845,기각하지 못함 (차이 없음),-2111.6077,-37.4086,-47.0289,-27.3918
pose_Ty,ND_CD_ED_MD,1.382,0.28363732990161206,기각하지 못함 (차이 없음),-1536.2603,22.892,32.4654,18.6023
pose_Tz,ND_CD_ED_MD,0.7501,0.5383577534025794,기각하지 못함 (차이 없음),3517.2175,270.563,273.8484,270.1849
pose_Rx,ND_CD_ED_MD,0.6229,0.6106468233186629,기각하지 못함 (차이 없음),-0.027,0.0397,0.0836,-0.009
pose_Ry,ND_CD_ED_MD,0.8494,0.48779348941457445,기각하지 못함 (차이 없음),-0.0018,0.0059,-0.0423,0.0151
pose_Rz,ND_CD_ED_MD,0.0481,0.9854378954190433,기각하지 못함 (차이 없음),0.0167,0.017,0.0203,0.0172
Speed,ND_CD_ED_MD,1.7489,0.20038441928906905,기각하지 못함 (차이 없음),70.3973,71.8522,73.6444,71.8593
Acceleration,ND_CD_ED_MD,1.1581,0.3603075030746877,기각하지 못함 (차이 없음),6.0365,5.6519,6.0579,6.5054
Brake,ND_CD_ED_MD,4.1735,0.02591083225852331,기각 (차이 있음),20.2232,4.0945,6.5885,20.6637
Steering,ND_CD_ED_MD,0.4391,0.7285614829499297,기각하지 못함 (차이 없음),0.0001,0.0001,0.0002,0.0103
LaneOffset,ND_CD_ED_MD,0.8493,0.4870196950718003,기각하지 못함 (차이 없음),-0.0664,-0.0651,-0.0388,0.0059
gaze_0_x,ND_CD_ED_MD,3.5658,0.039636107929364915,기각 (차이 있음),0.1457,0.1383,0.2042,0.1117
gaze_0_y,ND_CD_ED_MD,0.67,0.5828104037183153,기각하지 못함 (차이 없음),0.1706,0.2218,0.2209,0.156
gaze_0_z,ND_CD_ED_MD,3.1776,0.054056044004965956,기각하지 못함 (차이 없음),-0.9507,-0.9509,-0.9253,-0.9716
gaze_1_x,ND_CD_ED_MD,0.6832,0.5757355926747021,기각하지 못함 (차이 없음),-0.0535,-0.0597,-0.0171,-0.069
gaze_1_y,ND_CD_ED_MD,0.5174,0.6762717642897068,기각하지 못함 (차이 없음),0.1781,0.233,0.2345,0.1694
gaze_1_z,ND_CD_ED_MD,0.3408,0.7961718951173129,기각하지 못함 (차이 없음),-0.9571,-0.9569,-0.9443,-0.9675
gaze_angle_x,ND_CD_ED_MD,2.0959,0.14174876331523664,기각하지 못함 (차이 없음),0.0475,0.0415,0.0975,0.0213
gaze_angle_y,ND_CD_ED_MD,0.6157,0.6147812020953887,기각하지 못함 (차이 없음),0.179,0.2336,0.239,0.1661
gaze_vel,ND_CD_ED_MD,1.1335,0.3649752141035397,기각하지 못함 (차이 없음),23.3962,21.0911,26.0061,25.5478
gaze_amp,ND_CD_ED_MD,0.8391,0.4918186675057745,기각하지 못함 (차이 없음),0.8767,0.79,0.939,0.9423
gaze_acc,ND_CD_ED_MD,1.4089,0.28551179525694986,기각하지 못함 (차이 없음),0.1072,0.154,0.4835,0.1668
