Feature,Total_Iterations,Significant_Count_P<0.05,Mean_P_value
AU25_r,10.0,10.0,0.004955
AU26_r,10.0,8.0,0.028599
AU45_r,10.0,6.0,0.058935
Speed,10.0,3.0,0.356132
gaze_acc,10.0,2.0,0.171848
Brake,10.0,2.0,0.376686
gaze_0_y,10.0,2.0,0.399525
gaze_1_y,10.0,2.0,0.403293
gaze_amp,10.0,2.0,0.213607
AU07_r,10.0,2.0,0.433706
gaze_angle_y,10.0,2.0,0.396648
gaze_vel,10.0,2.0,0.186619
pose_Rx,10.0,2.0,0.379283
Acceleration,10.0,1.0,0.472943
gaze_1_x,10.0,1.0,0.482102
gaze_0_z,10.0,1.0,0.475385
AU01_r,10.0,1.0,0.221601
LaneOffset,10.0,1.0,0.339226
AU23_r,10.0,1.0,0.342342
AU17_r,10.0,1.0,0.340855
AU14_r,10.0,1.0,0.521766
AU12_r,10.0,1.0,0.415276
AU06_r,10.0,1.0,0.500135
gaze_angle_x,10.0,0.0,0.540247
pose_Ty,10.0,0.0,0.406644
pose_Tx,10.0,0.0,0.375694
pose_Rz,10.0,0.0,0.336897
pose_Ry,10.0,0.0,0.52394
AU04_r,10.0,0.0,0.451625
AU05_r,10.0,0.0,0.328053
AU10_r,10.0,0.0,0.3596
AU09_r,10.0,0.0,0.200018
AU02_r,10.0,0.0,0.458664
gaze_1_z,10.0,0.0,0.485206
AU15_r,10.0,0.0,0.582243
gaze_0_x,10.0,0.0,0.606466
Steering,10.0,0.0,0.495066
AU20_r,10.0,0.0,0.499009
pose_Tz,10.0,0.0,0.378975
