A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature
CD_ED,MD,0.6076531041118544,0.6379322975472567,-0.030279193435402307,0.1756629249556017,-0.17237099657230054,14.210653053412303,0.9837721821436228,-0.07382947061009329,AU25_r
CD_ED,ND,0.6076531041118544,0.28650944167525516,0.3211436624365992,0.15709054054643826,2.0443220917026794,9.993677663884963,0.15199403325455108,0.9664859026070399,AU25_r
MD,ND,0.6379322975472567,0.28650944167525516,0.3514228558720015,0.09350427783560028,3.758361264389155,12.127001125926279,0.006999806284450516,1.6804275434122649,AU25_r
CD_ED,MD,0.524458913972363,0.49687804991691686,0.02758086405544613,0.11970386668331268,0.23040913229990959,15.5188166604967,0.9712120894414735,0.09868820509080323,AU26_r
CD_ED,ND,0.524458913972363,0.2731409321213104,0.2513179818510526,0.1039399755128938,2.4179145762823127,10.403386474001808,0.08280527200331866,1.1292951094191872,AU26_r
MD,ND,0.49687804991691686,0.2731409321213104,0.22373711779560645,0.071232167266588,3.140956205337193,12.27719104708815,0.02105184261707127,1.399685225232916,AU26_r
CD_ED,MD,0.5079173735236021,0.24232593575004918,0.26559143777355293,0.13688403201361957,1.9402660329813148,9.604840770511325,0.17982977139217649,0.8310494045189993,AU45_r
CD_ED,ND,0.5079173735236021,0.15759304185148115,0.35032433167212096,0.13509967170267276,2.5930805549484566,9.12376770088296,0.06754363054919676,1.2619263759322847,AU45_r
MD,ND,0.24232593575004918,0.15759304185148115,0.08473289389856803,0.02709809755040934,3.1268945630202762,12.709336671647417,0.020885413287794585,1.3805187478097092,AU45_r
CD_ED,MD,-0.9261705716284958,-0.9716141203928998,0.04544354876440404,0.015399390282613492,2.950996625867166,10.295282195963184,0.03454050350292093,1.2639627489103704,gaze_0_z
CD_ED,ND,-0.9261705716284958,-0.947061631896207,0.020891060267711148,0.015979492728715194,1.3073669247441035,11.817245994521075,0.418347191558621,0.588710288216139,gaze_0_z
MD,ND,-0.9716141203928998,-0.947061631896207,-0.024552488496692892,0.007084959971456243,-3.4654378564747734,22.50177580949169,0.005846718697331554,-1.2263229274280574,gaze_0_z
