Feature,Comparison,Welch_F,P_value,Result,ND_Mean,CD_ED_Mean,MD_Mean
AU01_r,ND_vs_CD_ED_vs_MD,2.656,0.10723423729061318,기각하지 못함 (차이 없음),0.1569,0.4363,0.2889
AU02_r,ND_vs_CD_ED_vs_MD,2.6593,0.10952158899880489,기각하지 못함 (차이 없음),0.0724,0.1611,0.1533
AU04_r,ND_vs_CD_ED_vs_MD,0.2386,0.7901637670790699,기각하지 못함 (차이 없음),0.4887,0.5441,0.6753
AU05_r,ND_vs_CD_ED_vs_MD,0.305,0.7419801414434704,기각하지 못함 (차이 없음),0.051,0.0579,0.0641
AU06_r,ND_vs_CD_ED_vs_MD,0.8869,0.42852973759420143,기각하지 못함 (차이 없음),0.7661,0.5415,0.8122
AU07_r,ND_vs_CD_ED_vs_MD,0.8129,0.45736481985715144,기각하지 못함 (차이 없음),0.8255,0.4748,0.6121
AU09_r,ND_vs_CD_ED_vs_MD,3.7106,0.05209974373035305,기각하지 못함 (차이 없음),0.0596,0.0683,0.119
AU10_r,ND_vs_CD_ED_vs_MD,2.6581,0.09532067178581664,기각하지 못함 (차이 없음),0.7601,0.51,1.0441
AU12_r,ND_vs_CD_ED_vs_MD,1.0775,0.3593277088643431,기각하지 못함 (차이 없음),0.1605,0.17,0.3244
AU14_r,ND_vs_CD_ED_vs_MD,2.2756,0.1324455630576935,기각하지 못함 (차이 없음),0.6182,0.7347,1.0694
AU15_r,ND_vs_CD_ED_vs_MD,0.3334,0.7208524840765684,기각하지 못함 (차이 없음),0.1268,0.1056,0.1273
AU17_r,ND_vs_CD_ED_vs_MD,0.8972,0.42426837722868177,기각하지 못함 (차이 없음),0.2756,0.3408,0.3347
AU20_r,ND_vs_CD_ED_vs_MD,0.0012,0.9987557331338653,기각하지 못함 (차이 없음),0.0916,0.0929,0.0915
AU23_r,ND_vs_CD_ED_vs_MD,2.6675,0.10487553401041702,기각하지 못함 (차이 없음),0.0969,0.1693,0.1464
AU25_r,ND_vs_CD_ED_vs_MD,8.1672,0.0042903653903036175,기각 (차이 있음),0.2865,0.6077,0.6379
AU26_r,ND_vs_CD_ED_vs_MD,6.8284,0.008052569859052776,기각 (차이 있음),0.2731,0.5245,0.4969
AU45_r,ND_vs_CD_ED_vs_MD,7.6243,0.005681634609028671,기각 (차이 있음),0.1576,0.5079,0.2423
pose_Tx,ND_vs_CD_ED_vs_MD,1.2193,0.3155232441565194,기각하지 못함 (차이 없음),-1557.8123,-42.4156,-36.801
pose_Ty,ND_vs_CD_ED_vs_MD,1.2086,0.31897614633190474,기각하지 못함 (차이 없음),-1123.0683,21.7504,26.8871
pose_Tz,ND_vs_CD_ED_vs_MD,1.1681,0.3309467992685431,기각하지 못함 (차이 없음),2652.2154,270.6476,274.5431
pose_Rx,ND_vs_CD_ED_vs_MD,1.3217,0.2905062312351279,기각하지 못함 (차이 없음),-0.0029,0.0976,-0.0248
pose_Ry,ND_vs_CD_ED_vs_MD,0.1563,0.8565050888200756,기각하지 못함 (차이 없음),-0.0009,-0.0211,-0.0077
pose_Rz,ND_vs_CD_ED_vs_MD,0.1546,0.857836220948607,기각하지 못함 (차이 없음),0.0229,0.0174,0.0168
Speed,ND_vs_CD_ED_vs_MD,2.3317,0.1267673157891006,기각하지 못함 (차이 없음),69.8087,73.1591,72.2724
Acceleration,ND_vs_CD_ED_vs_MD,2.1598,0.14772366154656077,기각하지 못함 (차이 없음),5.9065,5.7378,6.4694
Brake,ND_vs_CD_ED_vs_MD,2.7914,0.08691255880762672,기각하지 못함 (차이 없음),16.0427,6.3354,15.9887
Steering,ND_vs_CD_ED_vs_MD,0.6046,0.5578002107541072,기각하지 못함 (차이 없음),0.0,0.0001,0.0073
LaneOffset,ND_vs_CD_ED_vs_MD,2.025,0.15731379894658606,기각하지 못함 (차이 없음),-0.0854,-0.0593,-0.0021
gaze_0_x,ND_vs_CD_ED_vs_MD,0.8733,0.4336104080641172,기각하지 못함 (차이 없음),0.1449,0.1803,0.1351
gaze_0_y,ND_vs_CD_ED_vs_MD,3.4661,0.05196143512355676,기각하지 못함 (차이 없음),0.1993,0.262,0.1249
gaze_0_z,ND_vs_CD_ED_vs_MD,8.7285,0.002266440620248911,기각 (차이 있음),-0.9471,-0.9262,-0.9716
gaze_1_x,ND_vs_CD_ED_vs_MD,0.2697,0.7666524789580578,기각하지 못함 (차이 없음),-0.0575,-0.0401,-0.0383
gaze_1_y,ND_vs_CD_ED_vs_MD,2.2579,0.13146509556180525,기각하지 못함 (차이 없음),0.204,0.2711,0.1418
gaze_1_z,ND_vs_CD_ED_vs_MD,2.3086,0.12994315339286294,기각하지 못함 (차이 없음),-0.9544,-0.9406,-0.9735
gaze_angle_x,ND_vs_CD_ED_vs_MD,0.3941,0.6798041221065863,기각하지 못함 (차이 없음),0.0454,0.0737,0.0488
gaze_angle_y,ND_vs_CD_ED_vs_MD,2.9144,0.07847573438279885,기각하지 못함 (차이 없음),0.2069,0.2776,0.1361
gaze_vel,ND_vs_CD_ED_vs_MD,1.4755,0.2523079372600299,기각하지 못함 (차이 없음),20.8806,25.4822,24.7442
gaze_amp,ND_vs_CD_ED_vs_MD,1.1508,0.33612198133836807,기각하지 못함 (차이 없음),0.7835,0.9356,0.9097
gaze_acc,ND_vs_CD_ED_vs_MD,2.0457,0.16693714600169568,기각하지 못함 (차이 없음),0.0708,0.4103,0.2124
