frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,gaze_amp,gaze_vel,gaze_acc,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise,Valence,Arousal,Distraction,Time,Drive,Stimulus,Failure,Palm_EDA,Heart_Rate,Breathing_Rate,Perinasal_Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane_Position,Distance,Gaze_X_Pos,Gaze_Y_Pos,Lft_Pupil_Diameter,Rt_Pupil_Diameter
28,0,1,0.98,1,0.127984,0.03154,-0.991275,-0.035525,0.056242,-0.997785,0.046,0.044,0.063655322,0,0,-38.8,8.9,295.4,-0.143,-0.002,0.021,0,0,2.92,0.15,1.52,2.81,1.92,1.67,0,1.06,0.95,1.33,0.67,1.25,0.01,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,Sadness,0.022451518,0.004336948,0.131922841,0.007962355,0.011625094,0.033640683,0.78764534,0.000415196,-0.339925706,-0.238919184,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
29,0,1.037,0.98,1,0.196026,0.009181,-0.980556,-0.088715,0.039763,-0.995263,0.054,0.025,0.059506302,-0.1240049,0,-39.4,10,294.9,-0.145,-0.011,0.014,0,0,3,0.1,1.38,2.64,1.89,1.58,0,0.85,0.85,1.39,0.89,1.38,0.1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,Sadness,0.016760189,0.002778154,0.107236199,0.00440539,0.008698208,0.026665304,0.83320874,0.000247856,-0.390136361,-0.270456553,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
30,0,1.074,0.88,1,0.12842,-0.05902,-0.989962,-0.020804,0.039111,-0.999018,0.054,-0.01,0.054918121,0.602240957,-6.020828122,-40.8,12.2,298.1,-0.159,-0.024,0.01,0,0,3.14,0.02,1.18,2.52,1.83,1.39,0,0.67,0.75,1.44,1.08,1.51,0.16,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,Sadness,0.01121068,0.001662256,0.107058689,0.005975672,0.007190154,0.021912018,0.844627738,0.000362728,-0.451341152,-0.283250153,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
31,0,1.111,0.88,1,0.14491,-0.006613,-0.989423,0.002408,0.050801,-0.998706,0.074,0.022,0.077201036,0.379470316,1.50042487,-42.8,14.5,300.8,-0.14,-0.035,0.013,0,0,3.22,0,1.02,2.58,1.77,1.27,0,0.48,0.61,1.43,1.14,1.71,0.21,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,Sadness,0.01026686,0.001008783,0.064627163,0.005272769,0.003656399,0.019010855,0.89591825,0.000238938,-0.538419306,-0.279614627,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
32,0,1.148,0.88,1,0.18087,-0.00649,-0.983486,-0.020395,0.089439,-0.995783,0.081,0.042,0.091241438,0.434986036,15.99726284,-44.1,17,298.5,-0.118,-0.044,0.014,0,0,3.24,0,0.9,2.55,1.71,1.26,0,0.65,0.57,1.41,1.04,1.81,0.2,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,Sadness,0.016198728,0.001558607,0.116785221,0.006369465,0.006114108,0.022591554,0.830129325,0.000252972,-0.495833158,-0.223016277,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
33,0,1.185,0.88,1,0.192668,-0.019825,-0.981064,0.006328,0.096756,-0.995288,0.1,0.039,0.107335921,1.026884761,-53.81068856,-45.8,20.2,298.9,-0.107,-0.04,0.015,0,0,3.21,0,0.8,2.41,1.6,1.43,0,0.82,0.51,1.42,0.91,1.8,0.24,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,Sadness,0.016875979,0.001669522,0.164479107,0.005652684,0.006704651,0.020591702,0.783806026,0.000220284,-0.499487996,-0.192362115,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
34,0,1.222,0.88,1,0.186751,-0.007141,-0.982381,0.091168,0.083915,-0.992294,0.14,0.039,0.145330657,-0.964110715,66.79125924,-47.9,24,301.3,-0.101,-0.04,0.015,0,0,3.24,0,0.72,2.25,1.44,1.51,0,1.3,0.46,1.6,0.84,1.77,0.41,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,Sadness,0.023936456,0.001960415,0.11174085,0.005665738,0.005272035,0.019007931,0.832218885,0.000197716,-0.526726246,-0.172659889,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
35,0,1.259,0.98,1,0.172388,0.027723,-0.984639,-0.024652,0.129776,-0.991237,0.075,0.08,0.109658561,1.507165876,3.761436531,-49.9,28.7,303.9,-0.08,-0.039,0.018,0,0,3.17,0,0.58,1.99,1.28,1.57,0,1.63,0.44,1.73,0.86,1.8,0.63,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,Sadness,0.057298508,0.007970106,0.072497942,0.008876461,0.021008734,0.069671847,0.762170792,0.000505664,-0.35361439,-0.158708766,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
36,0,1.296,0.98,1,0.212721,0.07846,-0.973958,-0.004684,0.172011,-0.985084,0.106,0.127,0.165423698,1.646339028,-11.51653658,-51.8,33.7,304,-0.073,-0.05,0.02,0,0,2.47,0,0.33,1.33,0.81,1.1,0,1.83,0.47,1.98,0.7,1.44,0.93,0.3,0.41,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,Sadness,0.015377562,0.002785705,0.096112557,0.010280786,0.008833119,0.017738884,0.848612487,0.000258846,-0.502868831,-0.191253886,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
37,0,1.333,0.98,1,0.182064,0.129615,-0.974706,0.057136,0.243866,-0.968125,0.123,0.19,0.226338242,1.220227175,-13.06378464,-53.9,38.3,291.9,-0.125,-0.068,-0.005,0,0,1.67,0,0.12,0.61,0.39,0.67,0,1.94,0.39,2.01,0.63,0.89,1.28,0.48,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,Sadness,0.014648928,0.006422818,0.039274521,0.018658593,0.024629176,0.029032493,0.866378367,0.000955109,-0.464632392,-0.259937376,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
