Feature,Comparison,Null_Hypothesis,Welch_F,ddof1,ddof2,P_value,np2,Result,ND_N_CSV,ND_Mean,CD_N_CSV,CD_Mean,ED_N_CSV,ED_Mean,MD_N_CSV,MD_Mean
AU01_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU01_r)은 모두 같다.",1.1721,2,16.2166,0.3346131553253879,0.068951,기각하지 못함 (차이 없음),12,0.1668,11.0,0.321,10.0,0.2273,,
AU01_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU01_r)은 모두 같다.",1.8668,2,13.9805,0.19117744289815392,0.074914,기각하지 못함 (차이 없음),12,0.1668,11.0,0.321,,,10.0,0.3584
AU01_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU01_r)은 모두 같다.",1.5585,2,15.269,0.2421518290160699,0.114465,기각하지 못함 (차이 없음),12,0.1668,,,10.0,0.2273,10.0,0.3584
AU01_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU01_r)은 모두 같다.",1.3883,3,18.5046,0.2776764901329633,0.07485,기각하지 못함 (차이 없음),12,0.1668,11.0,0.321,10.0,0.2273,10.0,0.3584
AU02_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU02_r)은 모두 같다.",1.2393,2,16.152,0.3156993908145857,0.125335,기각하지 못함 (차이 없음),12,0.0991,11.0,0.2168,10.0,0.1065,,
AU02_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU02_r)은 모두 같다.",1.4818,2,16.2344,0.2563933253371644,0.149251,기각하지 못함 (차이 없음),12,0.0991,11.0,0.2168,,,10.0,0.0818
AU02_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU02_r)은 모두 같다.",0.1995,2,16.8967,0.8210141946808951,0.017535,기각하지 못함 (차이 없음),12,0.0991,,,10.0,0.1065,10.0,0.0818
AU02_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU02_r)은 모두 같다.",0.9783,3,19.5821,0.4231105995754538,0.141734,기각하지 못함 (차이 없음),12,0.0991,11.0,0.2168,10.0,0.1065,10.0,0.0818
AU04_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU04_r)은 모두 같다.",0.2639,2,19.6191,0.7707327941374676,0.021686,기각하지 못함 (차이 없음),12,0.6937,11.0,0.4182,10.0,0.579,,
AU04_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU04_r)은 모두 같다.",0.2638,2,19.9059,0.7707634751918052,0.019978,기각하지 못함 (차이 없음),12,0.6937,11.0,0.4182,,,10.0,0.579
AU04_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU04_r)은 모두 같다.",0.0754,2,19.1081,0.9276741890545394,0.006081,기각하지 못함 (차이 없음),12,0.6937,,,10.0,0.579,10.0,0.579
AU04_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU04_r)은 모두 같다.",0.1714,3,21.5084,0.9145063925023887,0.017634,기각하지 못함 (차이 없음),12,0.6937,11.0,0.4182,10.0,0.579,10.0,0.579
AU05_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU05_r)은 모두 같다.",2.0148,2,13.7093,0.1709563271447985,0.066561,기각하지 못함 (차이 없음),12,0.0522,11.0,0.0834,10.0,0.074,,
AU05_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU05_r)은 모두 같다.",2.3634,2,15.7977,0.12649331633068547,0.206385,기각하지 못함 (차이 없음),12,0.0522,11.0,0.0834,,,10.0,0.0434
AU05_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU05_r)은 모두 같다.",0.877,2,14.5876,0.43685515374902695,0.07576,기각하지 못함 (차이 없음),12,0.0522,,,10.0,0.074,10.0,0.0434
AU05_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU05_r)은 모두 같다.",1.7786,3,18.0586,0.187139446248244,0.110011,기각하지 못함 (차이 없음),12,0.0522,11.0,0.0834,10.0,0.074,10.0,0.0434
AU06_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU06_r)은 모두 같다.",0.9045,2,19.7499,0.4208599487061675,0.058028,기각하지 못함 (차이 없음),12,0.6382,11.0,0.7457,10.0,0.9148,,
AU06_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU06_r)은 모두 같다.",0.6766,2,19.9351,0.519614615936921,0.040636,기각하지 못함 (차이 없음),12,0.6382,11.0,0.7457,,,10.0,0.5217
AU06_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU06_r)은 모두 같다.",2.0247,2,19.0859,0.15942268753076166,0.122234,기각하지 못함 (차이 없음),12,0.6382,,,10.0,0.9148,10.0,0.5217
AU06_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU06_r)은 모두 같다.",1.3846,3,21.5001,0.27437671224563,0.093724,기각하지 못함 (차이 없음),12,0.6382,11.0,0.7457,10.0,0.9148,10.0,0.5217
AU07_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU07_r)은 모두 같다.",2.1004,2,18.8317,0.15016417387641548,0.117847,기각하지 못함 (차이 없음),12,0.4408,11.0,0.8927,10.0,0.948,,
AU07_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU07_r)은 모두 같다.",8.3426,2,17.8274,0.0027716830387332467,0.273609,기각 (차이 있음),12,0.4408,11.0,0.8927,,,10.0,0.1679
AU07_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU07_r)은 모두 같다.",4.5402,2,15.7684,0.027715298873739354,0.224656,기각 (차이 있음),12,0.4408,,,10.0,0.948,10.0,0.1679
AU07_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU07_r)은 모두 같다.",7.1315,3,19.6872,0.001977392680519999,0.239782,기각 (차이 있음),12,0.4408,11.0,0.8927,10.0,0.948,10.0,0.1679
AU09_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU09_r)은 모두 같다.",8.0548,2,16.0538,0.003780921511626017,0.267205,기각 (차이 있음),12,0.0674,11.0,0.1263,10.0,0.1285,,
AU09_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU09_r)은 모두 같다.",3.8545,2,14.967,0.04464196391899149,0.210705,기각 (차이 있음),12,0.0674,11.0,0.1263,,,10.0,0.0578
AU09_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU09_r)은 모두 같다.",5.7531,2,14.778,0.014195956999470714,0.244763,기각 (차이 있음),12,0.0674,,,10.0,0.1285,10.0,0.0578
AU09_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU09_r)은 모두 같다.",5.4891,3,18.5388,0.007119404757293518,0.24825,기각 (차이 있음),12,0.0674,11.0,0.1263,10.0,0.1285,10.0,0.0578
AU10_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU10_r)은 모두 같다.",0.7776,2,18.4939,0.473949591156885,0.063792,기각하지 못함 (차이 없음),12,0.7119,11.0,0.8575,10.0,1.0746,,
AU10_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU10_r)은 모두 같다.",2.7571,2,19.7711,0.08787559187515939,0.10174,기각하지 못함 (차이 없음),12,0.7119,11.0,0.8575,,,10.0,0.4512
AU10_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU10_r)은 모두 같다.",3.2581,2,18.1694,0.06177395404149819,0.16105,기각하지 못함 (차이 없음),12,0.7119,,,10.0,1.0746,10.0,0.4512
AU10_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU10_r)은 모두 같다.",2.8297,3,21.1062,0.06303826559455258,0.148399,기각하지 못함 (차이 없음),12,0.7119,11.0,0.8575,10.0,1.0746,10.0,0.4512
AU12_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU12_r)은 모두 같다.",0.7563,2,19.8223,0.4824777108836959,0.058,기각하지 못함 (차이 없음),12,0.1428,11.0,0.2982,10.0,0.2179,,
AU12_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU12_r)은 모두 같다.",0.8083,2,19.7769,0.45980455993045605,0.053183,기각하지 못함 (차이 없음),12,0.1428,11.0,0.2982,,,10.0,0.1818
AU12_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU12_r)은 모두 같다.",0.234,2,18.8904,0.7936049993387149,0.014268,기각하지 못함 (차이 없음),12,0.1428,,,10.0,0.2179,10.0,0.1818
AU12_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU12_r)은 모두 같다.",0.53,3,21.4376,0.666510980940526,0.046964,기각하지 못함 (차이 없음),12,0.1428,11.0,0.2982,10.0,0.2179,10.0,0.1818
AU14_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU14_r)은 모두 같다.",0.199,2,19.9667,0.8211857541406048,0.01565,기각하지 못함 (차이 없음),12,0.9321,11.0,0.7637,10.0,0.7557,,
AU14_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU14_r)은 모두 같다.",0.1513,2,19.9341,0.8605632410838482,0.01123,기각하지 못함 (차이 없음),12,0.9321,11.0,0.7637,,,10.0,0.8312
AU14_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU14_r)은 모두 같다.",0.169,2,19.3218,0.8457185913579439,0.012406,기각하지 못함 (차이 없음),12,0.9321,,,10.0,0.7557,10.0,0.8312
AU14_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU14_r)은 모두 같다.",0.1347,3,21.6151,0.9382940097107683,0.012709,기각하지 못함 (차이 없음),12,0.9321,11.0,0.7637,10.0,0.7557,10.0,0.8312
AU15_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU15_r)은 모두 같다.",0.0459,2,16.1525,0.9552937534671614,0.005156,기각하지 못함 (차이 없음),12,0.1217,11.0,0.1184,10.0,0.1348,,
AU15_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU15_r)은 모두 같다.",0.2196,2,18.7826,0.8049060446284093,0.011989,기각하지 못함 (차이 없음),12,0.1217,11.0,0.1184,,,10.0,0.1354
AU15_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU15_r)은 모두 같다.",0.1865,2,16.8817,0.831579228530414,0.005547,기각하지 못함 (차이 없음),12,0.1217,,,10.0,0.1348,10.0,0.1354
AU15_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU15_r)은 모두 같다.",0.1527,3,20.1273,0.9267073823113398,0.00748,기각하지 못함 (차이 없음),12,0.1217,11.0,0.1184,10.0,0.1348,10.0,0.1354
AU17_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU17_r)은 모두 같다.",0.2816,2,19.5285,0.7575644350192636,0.014821,기각하지 못함 (차이 없음),12,0.3105,11.0,0.2986,10.0,0.2782,,
AU17_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU17_r)은 모두 같다.",0.6227,2,18.8458,0.5471619211138222,0.048534,기각하지 못함 (차이 없음),12,0.3105,11.0,0.2986,,,10.0,0.37
AU17_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU17_r)은 모두 같다.",1.238,2,17.3387,0.3143481482767301,0.076336,기각하지 못함 (차이 없음),12,0.3105,,,10.0,0.2782,10.0,0.37
AU17_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU17_r)은 모두 같다.",0.8065,3,20.8513,0.5044393464551367,0.067739,기각하지 못함 (차이 없음),12,0.3105,11.0,0.2986,10.0,0.2782,10.0,0.37
AU20_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU20_r)은 모두 같다.",2.1606,2,18.5993,0.1433031553682127,0.102638,기각하지 못함 (차이 없음),12,0.0952,11.0,0.0653,10.0,0.076,,
AU20_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU20_r)은 모두 같다.",3.3169,2,17.6255,0.05988921640144157,0.185928,기각하지 못함 (차이 없음),12,0.0952,11.0,0.0653,,,10.0,0.1222
AU20_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU20_r)은 모두 같다.",1.3458,2,16.1888,0.28794154412246065,0.115435,기각하지 못함 (차이 없음),12,0.0952,,,10.0,0.076,10.0,0.1222
AU20_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU20_r)은 모두 같다.",2.2648,3,20.1444,0.1119218308587236,0.167546,기각하지 못함 (차이 없음),12,0.0952,11.0,0.0653,10.0,0.076,10.0,0.1222
AU23_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU23_r)은 모두 같다.",0.9671,2,15.1574,0.4024576579753462,0.043757,기각하지 못함 (차이 없음),12,0.1192,11.0,0.1593,10.0,0.1716,,
AU23_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU23_r)은 모두 같다.",0.8752,2,16.7591,0.43496948250132517,0.038257,기각하지 못함 (차이 없음),12,0.1192,11.0,0.1593,,,10.0,0.1513
AU23_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU23_r)은 모두 같다.",1.0682,2,15.7255,0.36727635896699984,0.058299,기각하지 못함 (차이 없음),12,0.1192,,,10.0,0.1716,10.0,0.1513
AU23_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU23_r)은 모두 같다.",0.841,3,19.0938,0.4880957941671715,0.038271,기각하지 못함 (차이 없음),12,0.1192,11.0,0.1593,10.0,0.1716,10.0,0.1513
AU25_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU25_r)은 모두 같다.",12.999,2,15.761,0.0004626357499101604,0.407455,기각 (차이 있음),12,0.2967,11.0,0.8875,10.0,0.6524,,
AU25_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU25_r)은 모두 같다.",10.5602,2,18.4851,0.0008736276923006303,0.543513,기각 (차이 있음),12,0.2967,11.0,0.8875,,,10.0,0.3537
AU25_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU25_r)은 모두 같다.",4.0829,2,17.3801,0.03518926059792199,0.322999,기각 (차이 있음),12,0.2967,,,10.0,0.6524,10.0,0.3537
AU25_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU25_r)은 모두 같다.",8.7284,3,20.1023,0.0006595197348983506,0.444448,기각 (차이 있음),12,0.2967,11.0,0.8875,10.0,0.6524,10.0,0.3537
AU26_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU26_r)은 모두 같다.",11.828,2,17.3856,0.0005718503205266055,0.349168,기각 (차이 있음),12,0.2841,11.0,0.6034,10.0,0.5333,,
AU26_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU26_r)은 모두 같다.",5.6088,2,16.1284,0.014153742526407598,0.309944,기각 (차이 있음),12,0.2841,11.0,0.6034,,,10.0,0.3434
AU26_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU26_r)은 모두 같다.",8.4549,2,16.8355,0.002870464671394286,0.306183,기각 (차이 있음),12,0.2841,,,10.0,0.5333,10.0,0.3434
AU26_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU26_r)은 모두 같다.",7.7502,3,19.8103,0.0012842239547076139,0.315544,기각 (차이 있음),12,0.2841,11.0,0.6034,10.0,0.5333,10.0,0.3434
AU45_r,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (AU45_r)은 모두 같다.",0.2665,2,17.4857,0.7691353124508082,0.022111,기각하지 못함 (차이 없음),12,0.1727,11.0,0.1723,10.0,0.1961,,
AU45_r,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (AU45_r)은 모두 같다.",8.8874,2,15.6837,0.002627740316591477,0.571162,기각 (차이 있음),12,0.1727,11.0,0.1723,,,10.0,0.6371
AU45_r,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (AU45_r)은 모두 같다.",8.913,2,14.5787,0.0029608326687658422,0.555027,기각 (차이 있음),12,0.1727,,,10.0,0.1961,10.0,0.6371
AU45_r,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (AU45_r)은 모두 같다.",5.8647,3,19.0617,0.00516966612294071,0.571955,기각 (차이 있음),12,0.1727,11.0,0.1723,10.0,0.1961,10.0,0.6371
pose_Tx,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (pose_Tx)은 모두 같다.",0.708,2,18.2667,0.505658577905316,0.055262,기각하지 못함 (차이 없음),12,-985.9466,11.0,-34.6824,10.0,-41.0483,,
pose_Tx,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (pose_Tx)은 모두 같다.",0.499,2,18.1231,0.6152263374629955,0.055528,기각하지 못함 (차이 없음),12,-985.9466,11.0,-34.6824,,,10.0,-35.9526
pose_Tx,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (pose_Tx)은 모두 같다.",0.6904,2,18.1897,0.5140549561826893,0.054244,기각하지 못함 (차이 없음),12,-985.9466,,,10.0,-41.0483,10.0,-35.9526
pose_Tx,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (pose_Tx)은 모두 같다.",0.5094,3,21.3105,0.6800377136670683,0.062218,기각하지 못함 (차이 없음),12,-985.9466,11.0,-34.6824,10.0,-41.0483,10.0,-35.9526
pose_Ty,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (pose_Ty)은 모두 같다.",0.5032,2,17.8586,0.6129178602166941,0.054402,기각하지 못함 (차이 없음),12,-678.3372,11.0,27.8817,10.0,29.6542,,
pose_Ty,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (pose_Ty)은 모두 같다.",1.6658,2,18.3439,0.21639894292347792,0.053503,기각하지 못함 (차이 없음),12,-678.3372,11.0,27.8817,,,10.0,16.502
pose_Ty,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (pose_Ty)은 모두 같다.",1.665,2,18.0526,0.2169513760347446,0.052687,기각하지 못함 (차이 없음),12,-678.3372,,,10.0,29.6542,10.0,16.502
