Feature,Group,Total_Tests,Normal_Count_P>=0.05,Mean_W_statistic,Mean_P_value
AU06_r,MD,10.0,10.0,0.9045,0.291252
AU17_r,CD_ED,10.0,10.0,0.9065,0.322092
AU26_r,CD_ED,10.0,10.0,0.9158,0.419015
AU26_r,MD,10.0,10.0,0.9273,0.466029
Acceleration,MD,10.0,10.0,0.9096,0.331867
gaze_0_y,CD_ED,10.0,10.0,0.9489,0.650131
gaze_0_y,MD,10.0,10.0,0.9116,0.372735
gaze_1_x,CD_ED,10.0,10.0,0.9258,0.474731
gaze_1_x,MD,10.0,10.0,0.9301,0.506522
gaze_1_x,ND,10.0,10.0,0.9582,0.677112
gaze_1_y,CD_ED,10.0,10.0,0.946,0.647376
gaze_1_y,ND,10.0,10.0,0.9256,0.337441
gaze_angle_x,CD_ED,10.0,10.0,0.9228,0.400382
gaze_angle_x,MD,10.0,10.0,0.9246,0.476537
gaze_angle_y,CD_ED,10.0,10.0,0.9478,0.637799
pose_Rx,MD,10.0,10.0,0.9264,0.498548
pose_Ry,CD_ED,10.0,10.0,0.9545,0.722319
pose_Ry,MD,10.0,10.0,0.9643,0.795071
pose_Rz,CD_ED,10.0,10.0,0.9083,0.374954
pose_Rz,MD,10.0,10.0,0.9327,0.521606
pose_Tx,CD_ED,10.0,10.0,0.9375,0.533294
pose_Tx,MD,10.0,10.0,0.9385,0.569032
pose_Ty,CD_ED,10.0,10.0,0.9071,0.334983
pose_Tz,CD_ED,10.0,10.0,0.9532,0.735808
pose_Tz,MD,10.0,10.0,0.9343,0.524747
AU06_r,CD_ED,10.0,9.0,0.9107,0.384954
AU06_r,ND,10.0,9.0,0.9428,0.522747
AU14_r,MD,10.0,9.0,0.9062,0.331111
AU20_r,CD_ED,10.0,9.0,0.8994,0.299285
LaneOffset,MD,10.0,9.0,0.9061,0.391761
Steering,ND,10.0,9.0,0.9301,0.409197
gaze_0_x,CD_ED,10.0,9.0,0.9058,0.315514
gaze_0_x,MD,10.0,9.0,0.903,0.388862
gaze_0_x,ND,10.0,9.0,0.9196,0.273381
gaze_acc,MD,10.0,9.0,0.9086,0.382339
gaze_amp,CD_ED,10.0,9.0,0.9016,0.313147
gaze_amp,MD,10.0,9.0,0.9098,0.413081
gaze_angle_x,ND,10.0,9.0,0.9342,0.459933
gaze_vel,MD,10.0,9.0,0.9087,0.431176
pose_Rx,CD_ED,10.0,9.0,0.9128,0.391592
pose_Rx,ND,10.0,9.0,0.9298,0.38149
pose_Ry,ND,10.0,9.0,0.9424,0.573168
pose_Rz,ND,10.0,9.0,0.9372,0.506988
pose_Ty,MD,10.0,9.0,0.9147,0.413107
AU09_r,MD,10.0,8.0,0.8736,0.185672
AU10_r,MD,10.0,8.0,0.8979,0.378266
AU10_r,ND,10.0,8.0,0.9004,0.138823
AU15_r,CD_ED,10.0,8.0,0.8904,0.327296
AU15_r,MD,10.0,8.0,0.8792,0.287724
AU17_r,MD,10.0,8.0,0.8795,0.18108
AU20_r,MD,10.0,8.0,0.8713,0.210947
AU25_r,MD,10.0,8.0,0.9048,0.403155
AU45_r,ND,10.0,8.0,0.9011,0.141143
LaneOffset,CD_ED,10.0,8.0,0.896,0.326467
