Feature,Comparison,Group,W_statistic,P_value,Is_Normal,Result
AU01_r,ND_vs_CD_ED_vs_MD,ND,0.8337,0.01029322367052831,False,정규성 위배
AU01_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7485,0.007871431765407846,False,정규성 위배
AU01_r,ND_vs_CD_ED_vs_MD,MD,0.7894,0.006819335247251411,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,ND,0.8962,0.08321383791319696,True,정규성 만족
AU02_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8057,0.03296470820334118,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,MD,0.7172,0.0007792917882205602,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,ND,0.7569,0.001082947787031588,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,CD_ED,0.4987,9.977580587831732e-06,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,MD,0.867,0.07094054427517973,True,정규성 만족
AU05_r,ND_vs_CD_ED_vs_MD,ND,0.8732,0.037578212095546036,False,정규성 위배
AU05_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8304,0.05990351953130467,True,정규성 만족
AU05_r,ND_vs_CD_ED_vs_MD,MD,0.8442,0.03586925644682575,False,정규성 위배
AU06_r,ND_vs_CD_ED_vs_MD,ND,0.9044,0.11128393002507231,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9276,0.49423511672630926,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,MD,0.8821,0.11060227947768708,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,ND,0.8914,0.07052998715023633,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9031,0.30822295431806446,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,MD,0.7478,0.0019459963274902122,False,정규성 위배
AU09_r,ND_vs_CD_ED_vs_MD,ND,0.7558,0.0010518383397011234,False,정규성 위배
AU09_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8947,0.258812270728067,True,정규성 만족
AU09_r,ND_vs_CD_ED_vs_MD,MD,0.8046,0.010806707374248208,False,정규성 위배
AU10_r,ND_vs_CD_ED_vs_MD,ND,0.9153,0.1632849873823789,True,정규성 만족
AU10_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9009,0.2941638756837175,True,정규성 만족
AU10_r,ND_vs_CD_ED_vs_MD,MD,0.9142,0.27307634330151137,True,정규성 만족
AU12_r,ND_vs_CD_ED_vs_MD,ND,0.6341,5.327247386681357e-05,False,정규성 위배
AU12_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8547,0.10638320496689468,True,정규성 만족
