frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.0,0.98,1,0.106453,0.103322,-0.988935,-0.051288,0.112309,-0.992349,0.028,0.108,-30.8,42.0,286.6,-0.054,0.042,-0.066,0.31,0.0,0.19,0.0,0.29,0.0,0.0,0.0,0.0,0.55,0.0,0.32,0.0,0.0,0.76,0.22,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.042,0.98,1,0.1004,0.12675,-0.986841,-0.024727,0.135634,-0.99045,0.038,0.132,-30.6,41.7,285.7,-0.043,0.048,-0.075,0.1,0.18,0.08,0.0,0.25,0.0,0.0,0.0,0.0,0.53,0.0,0.19,0.0,0.04,1.02,0.1,0.1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.083,0.98,1,0.095157,0.118863,-0.98834,-0.044587,0.163707,-0.985501,0.026,0.142,-31.9,42.5,289.4,-0.033,0.069,-0.061,0.0,0.22,0.02,0.0,0.21,0.0,0.0,0.0,0.0,0.42,0.0,0.24,0.0,0.21,1.15,0.12,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.125,0.98,1,0.093053,0.119457,-0.988469,-0.080598,0.171926,-0.981807,0.006,0.147,-32.2,42.8,291.6,-0.027,0.061,-0.049,0.01,0.25,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.26,0.0,0.32,0.07,0.53,1.28,0.33,0.03,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,0,0.167,0.98,1,0.107356,0.147255,-0.983255,-0.030727,0.205437,-0.978188,0.039,0.178,-31.7,42.9,291.7,-0.008,0.042,-0.047,0.03,0.14,0.0,0.02,0.23,0.0,0.0,0.0,0.0,0.1,0.0,0.28,0.07,0.68,1.27,0.53,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,0,0.208,0.98,1,0.101766,0.166069,-0.980849,-0.045358,0.196771,-0.9794,0.029,0.183,-31.3,42.8,291.0,0.006,0.049,-0.054,0.03,0.15,0.0,0.02,0.24,0.0,0.05,0.0,0.0,0.12,0.0,0.14,0.07,0.51,1.24,0.56,0.03,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,0,0.25,0.98,1,0.104307,0.169327,-0.980025,-0.041076,0.205271,-0.977843,0.032,0.189,-30.8,42.4,289.2,0.016,0.061,-0.065,0.02,0.08,0.0,0.02,0.25,0.0,0.12,0.0,0.0,0.1,0.0,0.12,0.0,0.33,1.21,0.44,0.03,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,0,0.292,0.98,1,0.086002,0.166474,-0.982288,-0.064672,0.188569,-0.979928,0.011,0.179,-32.1,43.2,291.4,0.007,0.07,-0.054,0.13,0.1,0.0,0.0,0.23,0.0,0.16,0.0,0.0,0.16,0.0,0.14,0.03,0.38,1.12,0.41,0.03,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,0,0.333,0.98,1,0.100449,0.188056,-0.977008,-0.064061,0.19051,-0.979593,0.019,0.191,-31.6,43.5,291.5,0.014,0.055,-0.047,0.19,0.07,0.0,0.0,0.23,0.0,0.12,0.0,0.0,0.2,0.0,0.13,0.03,0.41,1.04,0.4,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,0,0.375,0.98,1,0.080014,0.191073,-0.978309,-0.044053,0.216192,-0.975357,0.018,0.206,-30.7,43.1,288.4,0.022,0.064,-0.059,0.23,0.07,0.0,0.0,0.25,0.0,0.08,0.0,0.0,0.27,0.0,0.09,0.03,0.41,1.0,0.43,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
