Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
1,4,0,0,50.5855,78.0,10.9,,-0.01780770437348,0.0,258.2611084,-0.125207489,-0.100000143,1.925000143,7.72e-06,0.0,0.0,0.009579,0.008266
2,4,0,0,46.3044,78.0,10.7,,0.30032251657216,0.0,233.6517334,-0.125207489,-0.100093603,1.925093603,0.000212193,0.0,0.0,0.0,0.007678
3,4,0,0,48.0471,78.0,10.7,,0.79599325465538,0.0,168.1732178,-0.098363617,-0.100987196,1.925987196,0.041335006,1333.62085,817.873291,0.0,0.008054
4,4,0,0,50.8735,77.0,10.5,,0.79546418252104,0.0,117.1966553,-0.110635101,-0.101915598,1.926915598,0.184013506,0.0,0.0,0.0,0.0
5,4,0,0,52.6726,76.0,10.5,,0.79691866699822,0.0,39.55993652,-0.112936005,-0.103252172,1.928252172,0.354876252,0.0,0.0,0.0,0.007973
6,4,0,0,53.6207,76.0,10.7,,0.79697837029354,0.0,0.0,-0.112936005,-0.104464293,1.929464293,0.504187627,0.0,0.0,0.0,0.008315
7,4,0,0,54.272,78.0,10.7,,1.65138488780898,0.0,23.59313965,-0.112936005,-0.108197927,1.933197927,0.674888769,1097.135742,623.169006,0.008225,0.008548
8,4,0,0,54.7151,81.0,11.1,,10.2034883670366,25.07080078,0.0,-0.112936005,-0.117738485,1.942738485,0.824249351,800.859985,630.141113,0.009433,0.008097
9,4,0,0,51.4594,86.0,11.1,,20.3723169417622,22.47528076,0.0,-0.092994843,-0.193458319,2.018458319,1.159184201,1281.569946,978.840088,0.0,0.007922
10,4,0,0,48.8348,86.0,11.5,,24.7726357499898,16.71295166,0.0,0.102006714,-0.305046797,2.130046797,1.474050412,0.0,0.0,0.0,0.00813
11,4,0,0,44.9083,85.0,11.5,,30.3617976252352,19.92370605,0.0,0.109676392,-0.355756998,2.180756998,3.149026199,1230.582642,1011.971375,0.0,0.008034
