Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
1,4,0,0,,67.0,11.3,0.006276667,2.092142e-05,0.0,262.6556396,-0.053879486,-0.100003958,1.925003958,3.72037e-06,0.0,0.0,0.0,0.0
2,4,0,0,,65.0,11.7,0.006345389,2.092142e-05,0.0,262.6556396,-0.053879486,-0.100003958,1.925003958,7.13071e-06,758.873413,1028.810669,0.0,0.0
3,4,0,0,,63.0,11.7,0.00633972,2.092142e-05,0.0,262.6556396,-0.053879486,-0.100003958,1.925003958,1.08511e-05,0.0,0.0,0.0,0.0
4,4,0,0,,65.0,11.7,0.006278059,2.092142e-05,0.0,262.6556396,-0.053879486,-0.100003958,1.925003958,1.42614e-05,0.0,0.0,0.0,0.0
5,4,0,0,,66.0,11.7,0.006178355,3.3957074e-05,0.0,96.83532715,-0.053879486,-0.100003958,1.925003958,1.79818e-05,0.0,0.0,0.0,0.0
6,4,0,0,,66.0,12.0,0.006093748,3.3313338e-05,0.0,61.82556152,-0.053879486,-0.100004435,1.925004435,2.18222e-05,885.792114,727.514771,0.0,0.0
7,4,0,0,,66.0,12.0,0.006012149,0.04387557804192,0.0,71.9329834,-0.053879486,-0.100005865,1.925005865,3.26521e-05,741.725708,867.318604,0.0,0.0
8,4,0,0,,66.0,12.0,0.00595225,0.85235186670008,0.0,81.74743652,-0.053879486,-0.100245237,1.925245237,3.98346e-05,746.339783,870.142273,0.0,0.0
9,4,0,0,,66.0,12.0,0.005889929,0.80026331164936,0.0,262.5091553,-0.053879486,-0.100826979,1.925826979,4.73089e-05,771.383728,816.33429,0.0,0.0
10,4,0,0,,66.0,12.0,0.005830702,0.79763874686914,0.0,50.8392334,-0.053879486,-0.101357698,1.926357698,0.028307028,762.192505,906.294678,0.0,0.0
11,4,0,0,,66.0,12.0,0.005755486,0.7967339984519,0.0,1.181030273,-0.053879486,-0.102029562,1.927029562,0.184502552,0.0,0.0,0.0,0.0
12,4,0,0,,67.0,12.3,0.005691514,0.82223533776948,0.0,173.4466553,-0.053879486,-0.102710485,1.927710485,0.334292688,741.000488,801.621826,0.0,0.0
13,4,0,0,,67.0,12.3,0.005625973,0.79651229255482,0.0,13.04626465,-0.053879486,-0.10351491,1.92851491,0.512155988,735.882019,850.034485,0.0,0.0
14,4,0,0,,68.0,12.3,0.005576908,3.5469744245347,12.09594727,0.0,-0.053879486,-0.104859591,1.929859591,0.661516286,744.48999,908.171387,0.0,0.0
15,4,0,0,,68.0,12.3,0.005533833,13.7311423703621,11.47796631,0.0,-0.058481293,-0.120435476,1.945435476,0.832228492,728.115479,770.376282,0.0,0.0
16,4,0,0,,69.0,12.3,0.005504102,17.9538523369224,6.553344727,0.0,-0.063083099,-0.141331434,1.966331434,0.997780745,759.416016,754.83667,0.0,0.0
